participant_id,alpha,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10039,0.050040896981954575,0.1653584986925125,401.5972900390625,807.194580078125,816.3279249377315,807.2115292306673,0.4858655320666808,9.596436029823963e-06,711,True,50,12,[],v4.0-phiapprox
10041,0.02418130449950695,0.5485341548919678,688.4804077148438,1380.9608154296875,1390.0515147503563,1380.9781314470035,0.09959500881309047,8.944055480242241e-06,696,True,50,26,[],v4.0-phiapprox
10043,0.06171606853604317,0.34801071882247925,554.010009765625,1112.02001953125,1121.1673798651714,1112.03684982578,0.295696029563423,9.893620699585881e-06,716,True,50,48,[],v4.0-phiapprox
10044,0.06171606853604317,0.34801071882247925,554.010009765625,1112.02001953125,1121.1673798651714,1112.03684982578,0.295696029563423,9.893620699585881e-06,716,True,50,48,[],v4.0-phiapprox
10047,0.019771337509155273,0.14770415425300598,510.9955749511719,1025.9911499023438,1035.141301583543,1026.0079566250329,0.3512856109438065,9.724524716148153e-06,717,True,50,14,[],v4.0-phiapprox
10048,0.8671426773071289,0.6056672930717468,679.9677124023438,1363.9354248046875,1373.043291612739,1363.9525921866618,0.1183286543186195,4.999986231268849e-06,702,True,50,36,[],v4.0-phiapprox
10050,0.03115471638739109,0.21178437769412994,492.1391296386719,988.2782592773438,997.4284109585429,988.2950660000329,0.3752240714712559,4.657055796997156e-06,717,True,50,36,[],v4.0-phiapprox
10051,0.057183001190423965,0.15493740141391754,380.44891357421875,764.8978271484375,774.0255382015017,764.9148243155763,0.5115662554826272,9.10346170712728e-06,709,True,50,14,[],v4.0-phiapprox
10052,0.029667405411601067,0.24724848568439484,525.2747802734375,1054.549560546875,1063.6772715999393,1054.5665577140137,0.3256336956802882,8.195615919248667e-06,709,True,50,17,[],v4.0-phiapprox
10055,0.4909989833831787,0.17717941105365753,367.5462951660156,739.0925903320312,748.2483130474733,739.1093501085676,0.5346939423345294,8.535985216440167e-06,719,True,50,26,[],v4.0-phiapprox
10057,0.020316068083047867,0.19890093803405762,544.1123046875,1092.224609375,1101.3607651978239,1092.2415346218265,0.3043927480099774,8.783070370554924e-06,712,True,50,19,[],v4.0-phiapprox
10058,0.032383762300014496,0.26133719086647034,521.4503173828125,1046.900634765625,1055.994205587146,1046.9179258319075,0.3190178857692251,3.3550727494002786e-06,697,True,50,37,[],v4.0-phiapprox
10059,0.041162971407175064,0.10697450488805771,359.60614013671875,723.2122802734375,732.365219411534,723.2290634902207,0.5441119569800711,0.03355400636792183,718,False,50,15,[],v4.0-phiapprox
10062,0.5264805555343628,0.05058160424232483,187.3679962158203,378.7359924316406,387.88893156973705,378.75277564842384,0.7624655989274255,0.0017577896360307932,718,False,50,4,[],v4.0-phiapprox
10063,0.03345394507050514,0.4188579320907593,628.1591796875,1260.318359375,1269.4573222158285,1260.3352607834506,0.19807135214965144,7.186563379946165e-07,713,True,50,36,[],v4.0-phiapprox
10064,0.03937966749072075,0.22196131944656372,478.25518798828125,960.5103759765625,969.6465317993865,960.527301223389,0.388586190386621,6.424081675504567e-06,712,True,50,16,[],v4.0-phiapprox
10065,0.8557068109512329,0.10330677777528763,271.32550048828125,546.6510009765625,555.8067236920045,546.6677607530988,0.6565074913371451,7.968463251017965e-06,719,True,50,23,[],v4.0-phiapprox
10066,0.49994271993637085,0.12289696931838989,299.0467224121094,602.0934448242188,611.2126752992052,602.110514525499,0.614441845136418,1.1927936611755285e-05,706,True,50,25,[],v4.0-phiapprox
10067,0.015640323981642723,0.3614290952682495,664.8712768554688,1333.7425537109375,1342.8899140448589,1333.7593840054676,0.15475989266575452,3.808639303315431e-05,716,True,50,25,[],v4.0-phiapprox
10071,0.05078965052962303,0.10501845180988312,335.9465026855469,675.8930053710938,685.0515077951139,675.9097417727673,0.5752893266771071,2.129557469743304e-05,720,True,50,10,[],v4.0-phiapprox
10072,0.05187026411294937,0.10313442349433899,332.6988525390625,669.397705078125,678.5506442162215,669.4144882949082,0.5782234732105955,1.7316866433247924e-05,718,True,50,10,[],v4.0-phiapprox
10073,0.05187026411294937,0.10313442349433899,332.6988525390625,669.397705078125,678.5506442162215,669.4144882949082,0.5782234732105955,1.7316866433247924e-05,718,True,50,10,[],v4.0-phiapprox
10074,0.061832867562770844,0.17870457470417023,407.3911437988281,818.7822875976562,827.9324392788554,818.7990943203454,0.4828125527669903,9.794745892577339e-06,717,True,50,40,[],v4.0-phiapprox
10075,0.05018123239278793,0.1707589030265808,413.4228210449219,830.8456420898438,839.9957937710429,830.8624488125329,0.47515527350374476,5.32062085767393e-06,717,True,50,44,[],v4.0-phiapprox
10076,0.018477151170372963,0.23272894322872162,576.915771484375,1157.83154296875,1166.9620729088208,1157.848516094634,0.2603783582186441,9.47416901908582e-06,710,True,50,21,[],v4.0-phiapprox
10077,0.0651577040553093,0.1257721185684204,342.40582275390625,688.8116455078125,697.9673682232545,688.8284052843488,0.5665212638441703,3.4698728086368646e-06,719,True,50,11,[],v4.0-phiapprox
10078,0.03838576748967171,0.11639533936977386,382.32623291015625,768.6524658203125,777.8081885357545,768.6692255968488,0.5159828448354761,9.90396165434504e-06,719,True,50,18,[],v4.0-phiapprox
