model,parameter,group1,group2,n1,n2,U,p_uncorrected,p_bonferroni,significant,r_rank_biserial,mean1,mean2,std1,std2
WM-RL+K,alpha_neg,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,266.5,0.4888600688691558,1.0,False,-0.07894736842105265,0.0016383732122798463,0.004236162217382879,0.0018051280754997107,0.012778555186284951
WM-RL+K,phi,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,182.0,0.13828605308499056,0.968002371594934,False,0.26315789473684215,0.21013311907434115,0.27775598414805963,0.10038547972061651,0.20880088041749356
WM-RL+K,rho,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,245.0,0.9723011089620254,1.0,False,0.0080971659919028,0.8167327327223924,0.8489640786459571,0.2317732937681246,0.18735196117311992
WM-RL+K,capacity,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,228.0,0.6707023509850907,1.0,False,0.07692307692307687,3.0857041890804586,3.1723752398239937,0.9499366395736989,1.0445298134568315
WM-RL+K,kappa,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,239.0,0.863162937035492,1.0,False,0.03238866396761131,0.06552644679322836,0.03634976979769101,0.10688210328576012,0.034155574997113906
WM-RL+K,epsilon,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,254.0,0.8779617877146311,1.0,False,-0.028340080971659853,0.03622090097857061,0.03109105802631295,0.044992359981700585,0.03937419048653452
WM-RL+M5,alpha_pos,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,249.0,0.9725024780508996,1.0,False,-0.00809716599190291,0.0355705538218339,0.034960181047943815,0.020263377970277736,0.020307613631016762
WM-RL+M5,alpha_neg,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,263.5,0.5600007131952309,1.0,False,-0.0668016194331984,0.001415197612144569,0.004648183711412263,0.0014981414615467899,0.013172020651977971
WM-RL+M5,phi,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,221.0,0.557831967690507,1.0,False,0.10526315789473684,0.2312041899243083,0.25346532461576554,0.21351080094654862,0.21556141395915585
WM-RL+M5,rho,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,267.5,0.6448773208707985,1.0,False,-0.082995951417004,0.753402970579023,0.7952686846256256,0.31137227922503025,0.2019909570032059
WM-RL+M5,capacity,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,228.0,0.6707227713432744,1.0,False,0.07692307692307687,2.452544083962074,2.6245470799897848,1.018761621414804,1.2400811646255563
WM-RL+M5,kappa,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,265.0,0.6875748580133396,1.0,False,-0.07287449392712553,0.06200307607995616,0.03303560419743732,0.09627645659345886,0.03378973438234893
WM-RL+M5,phi_rl,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,201.5,0.3005335271035786,1.0,False,0.1842105263157895,0.040667792361301254,0.047514646632694835,0.021875739279025964,0.02889704200293079
WM-RL+M5,epsilon,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,259.5,0.7801338750710265,1.0,False,-0.0506072874493928,0.038364820527091864,0.025412218044757014,0.0463777675146522,0.02566551122858207
WM-RL+M6a,alpha_pos,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,207.0,0.3639702272941736,1.0,False,0.16194331983805665,0.01060939629454734,0.014350679960395895,0.012683032960834282,0.01842671026055603
WM-RL+M6a,alpha_neg,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,226.5,0.466276630415591,1.0,False,0.082995951417004,0.03192902969357624,0.05078221034675244,0.14918760447270393,0.20916253780181754
WM-RL+M6a,phi,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,180.0,0.126459405750349,0.885215840252443,False,0.27125506072874495,0.2152840965069257,0.27570965154537636,0.10062597771108102,0.20471395848055113
WM-RL+M6a,rho,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,254.0,0.8809347317860885,1.0,False,-0.028340080971659853,0.8490365663400063,0.8475164543641241,0.1782509591609239,0.1858240860962057
WM-RL+M6a,capacity,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,226.5,0.6456851122227417,1.0,False,0.082995951417004,3.491999300626608,3.6655111626574866,1.2709515307728823,1.2714617122104104
WM-RL+M6a,kappa_s,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,293.0,0.2957523605610701,1.0,False,-0.18623481781376516,0.13598142281317938,0.10259180947353963,0.10997944023161042,0.04288845068985169
WM-RL+M6a,epsilon,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,250.0,0.95167107878507,1.0,False,-0.012145748987854255,0.02995740380496354,0.030221774138657224,0.03637515271033795,0.03487357807337152
WM-RL+M6b,alpha_pos,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,217.0,0.49777388900985686,1.0,False,0.12145748987854255,0.011838142370554361,0.01518332114516704,0.012258655113521038,0.017000869293200643
WM-RL+M6b,alpha_neg,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,249.5,0.9328769438666586,1.0,False,-0.010121457489878471,0.0074817490665456485,0.053933138119693996,0.028013544647217347,0.2227610647573622
WM-RL+M6b,phi,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,178.0,0.11545889923143728,0.9236711938514982,False,0.27935222672064774,0.20602486787650448,0.2732379630477609,0.09523164203034533,0.19994883253354137
WM-RL+M6b,rho,Trauma Exposure - No Ongoing Impact,Trauma Exposure - Ongoing Impact,26,19,273.0,0.5557281249761098,1.0,False,-0.10526315789473695,0.8439627232459875,0.8573316610173175,0.21708053391849497,0.18173428855855342
