participant_id,alpha,phi,rho,capacity,kappa,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10055,0.012034004554152489,0.09385575354099274,0.27870768308639526,2.999999761581421,0.45993733406066895,0.13302651047706604,357.9665222167969,727.9330444335938,755.40021257992,728.0510219616837,0.5468217380515775,0.02794630266726017,719,False,49,32,[],"v4.0-K[2,6]-phiapprox"
10057,0.007352616172283888,0.18118834495544434,0.24072732031345367,2.999999761581421,-0.7977648973464966,0.14409109950065613,496.42340087890625,1004.8468017578125,1032.2552692262843,1004.9659506939827,0.36535947683219094,0.038214072585105896,712,False,50,35,['alpha'],"v4.0-K[2,6]-phiapprox"
10058,0.003884616307914257,0.12397796660661697,0.1739986687898636,2.0,0.1407327651977539,0.0010000000474974513,477.887451171875,967.77490234375,995.0556148083132,967.8966414741848,0.37590831568241323,4.342882675700821e-06,697,True,50,41,"['alpha', 'capacity', 'epsilon']","v4.0-K[2,6]-phiapprox"
10059,0.006422964856028557,0.14184589684009552,0.47663620114326477,2.999999761581421,1.0,0.07531187683343887,301.770263671875,615.54052734375,642.9993447580393,615.6586708036656,0.6174329645909968,0.03088010661303997,718,False,49,39,"['alpha', 'kappa']","v4.0-K[2,6]-phiapprox"
10062,0.010673490352928638,0.0010000000474974513,0.3776383101940155,2.0,1.0,0.03514423966407776,160.6373291015625,333.274658203125,360.73347561741434,333.3928016630406,0.7963532058373162,4.292460744181881e-06,718,True,50,12,"['alpha', 'phi', 'capacity', 'kappa']","v4.0-K[2,6]-phiapprox"
10063,0.004454390145838261,0.16559402644634247,0.16841058433055878,4.620532035827637,0.8559404611587524,0.29648175835609436,602.98388671875,1217.9677734375,1245.3846619599858,1218.0867536074716,0.2302109583235351,9.939714800566435e-06,713,True,50,36,['alpha'],"v4.0-K[2,6]-phiapprox"
10064,0.009924869053065777,0.1401216834783554,0.1635724902153015,2.999999761581421,0.026584267616271973,0.14391806721687317,464.44464111328125,940.8892822265625,968.2977496950343,941.0084311627327,0.4062419509298706,0.13998256623744965,712,False,50,14,['alpha'],"v4.0-K[2,6]-phiapprox"
10065,0.0013711433857679367,0.03810061886906624,0.11381955444812775,6.0,0.8042724132537842,0.0010000001639127731,248.7227783203125,509.445556640625,536.9127247869512,509.5635341687149,0.6851220731811412,3.861751793010626e-06,719,True,47,8,"['alpha', 'capacity', 'epsilon']","v4.0-K[2,6]-phiapprox"
10066,0.008739124983549118,0.053064581006765366,0.27699702978134155,2.59293532371521,1.0,0.07576253265142441,275.9882507324219,563.9765014648438,591.3341928898033,564.0966731386635,0.6441709179819074,9.812350072024856e-06,706,True,50,17,"['alpha', 'kappa']","v4.0-K[2,6]-phiapprox"
10067,0.0022457819432020187,0.22093303501605988,0.18415716290473938,2.393573522567749,-0.2543821334838867,0.03460634872317314,602.4832763671875,1216.966552734375,1244.4086337361389,1217.0850294621607,0.23407274925129629,2.795337604766246e-05,716,True,50,31,['alpha'],"v4.0-K[2,6]-phiapprox"
10071,0.013335635885596275,0.12888777256011963,0.4821004569530487,2.0,0.4428532123565674,0.08577413856983185,311.8863220214844,635.7726440429688,663.2481513150294,635.8904561046799,0.605706715899549,6.724118975398596e-06,720,True,49,18,['capacity'],"v4.0-K[2,6]-phiapprox"
10072,0.01670181006193161,0.11060434579849243,0.188980832695961,3.8522396087646484,1.0,0.08787472546100616,312.9771423339844,637.9542846679688,665.4131020822581,638.0724281278843,0.603225526476374,9.618973308533896e-06,718,True,47,10,['kappa'],"v4.0-K[2,6]-phiapprox"
10073,0.01670181006193161,0.11060434579849243,0.188980832695961,3.8522396087646484,1.0,0.08787472546100616,312.9771423339844,637.9542846679688,665.4131020822581,638.0724281278843,0.603225526476374,9.618973308533896e-06,718,True,47,10,['kappa'],"v4.0-K[2,6]-phiapprox"
