participant_id,alpha,phi,rho,capacity,kappa_total,kappa_share,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10066,0.006996023003011942,0.06499095261096954,0.21557381749153137,2.582458972930908,1.0,0.7385531067848206,0.04425365477800369,275.68890380859375,565.3778076171875,597.2951142796402,565.5382660699096,0.6445568631836616,7.0035453063610476e-06,706,True,48,21,"['alpha', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10067,0.0021974139381200075,0.2709088623523712,0.2262004166841507,2.0,0.47787392139434814,1.322564593130428e-35,0.04773998633027077,595.7261352539062,1205.4522705078125,1237.468031676537,1205.610462598208,0.24266299352666154,4.925198481942061e-06,716,True,50,15,"['alpha', 'capacity', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10071,0.012387415394186974,0.15014705061912537,0.5579234957695007,2.0,1.0,0.38901063799858093,0.08707722276449203,310.0129089355469,634.0258178710938,666.0805763551645,634.1831212418803,0.6080751243419051,8.285958756459877e-06,720,True,50,21,"['capacity', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10072,0.011551788076758385,0.11219323426485062,0.13401658833026886,4.999999523162842,1.0,0.6985685229301453,0.06428425759077072,312.4439697265625,638.887939453125,670.9232264364625,639.0456859319983,0.6039014521335303,0.07302496582269669,718,False,47,18,['kappa_total'],"v4.0-K[2,6]-phiapprox-stickbreaking"
10073,0.011551788076758385,0.11219323426485062,0.13401658833026886,4.999999523162842,1.0,0.6985685229301453,0.06428425759077072,312.4439697265625,638.887939453125,670.9232264364625,639.0456859319983,0.6039014521335303,0.07302496582269669,718,False,47,18,['kappa_total'],"v4.0-K[2,6]-phiapprox-stickbreaking"
10074,0.00811936054378748,0.054524630308151245,0.062252674251794815,5.0,1.0,0.7428204417228699,0.07236681133508682,391.3609619140625,796.721923828125,828.7474547123223,796.8798927985058,0.5031630414161905,0.030063893646001816,717,False,47,14,"['alpha', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10075,0.007481670472770929,0.10526678711175919,0.1785004585981369,3.000000238418579,1.0,2.9408658507214925e-39,0.11058153212070465,384.0932922363281,782.1865844726562,814.2121153568536,782.3445534430371,0.5123894263908632,0.1878744512796402,717,False,46,26,"['alpha', 'kappa_total', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10076,0.0030533564276993275,0.19797784090042114,0.21526680886745453,2.0,1.0,0.5319964289665222,0.007443720940500498,473.4259948730469,960.8519897460938,992.8088445363413,961.0115339056379,0.39305505431227716,9.104221135203261e-06,710,True,45,28,"['alpha', 'capacity', 'kappa_total', 'epsilon']","v4.0-K[2,6]-phiapprox-stickbreaking"
10077,0.18632788956165314,0.4043385088443756,0.8676182627677917,4.999999523162842,1.0,0.7649181485176086,0.10973447561264038,324.0926208496094,662.1852416992188,694.230271203266,662.3427663124396,0.5897054011716089,0.10882268100976944,719,False,45,27,['kappa_total'],"v4.0-K[2,6]-phiapprox-stickbreaking"
10078,0.016831617802381516,0.1475999653339386,0.11380419880151749,6.0,0.8459969758987427,0.6266058683395386,0.10199028998613358,367.89971923828125,749.7994384765625,781.8444679806098,749.9569630897834,0.534246514720885,6.598950221814448e-06,719,True,49,17,['capacity'],"v4.0-K[2,6]-phiapprox-stickbreaking"
10079,0.010584230534732342,0.1994701772928238,0.36815744638442993,2.0,1.0,0.2978048622608185,0.026552487164735794,292.81256103515625,599.6251220703125,631.6701515743598,599.7826466835334,0.62930531418183,9.442323971597943e-06,719,True,48,23,"['alpha', 'capacity', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10081,0.0048113237135112286,0.16601544618606567,0.11064349859952927,4.96639347076416,0.9985911846160889,9.745619866663446e-10,0.0010000019101426005,349.6927490234375,713.385498046875,745.4012592155996,713.5436901372705,0.5554412605752703,6.57357895761379e-06,716,True,46,10,"['alpha', 'kappa_total', 'kappa_share', 'epsilon']","v4.0-K[2,6]-phiapprox-stickbreaking"
10083,0.011798340827226639,0.25184959173202515,0.12531641125679016,5.000000476837158,0.9381852149963379,0.21933436393737793,0.05032288283109665,388.8440856933594,791.6881713867188,823.5756696293934,791.8493224658555,0.49652753934574245,0.04552232846617699,703,False,49,44,[],"v4.0-K[2,6]-phiapprox-stickbreaking"
