participant_id,alpha,phi,rho,capacity,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10089,0.012263942509889603,0.23778633773326874,0.9369052052497864,3.000000238418579,0.018369879573583603,359.505859375,729.01171875,751.8801195848032,729.0962257922536,0.5429660120037478,0.3838721215724945,716,False,50,32,[],"v4.0-K[2,6]-phiapprox"
10092,0.023462381213903427,0.2016783505678177,0.9109001159667969,3.309448003768921,0.07737508416175842,330.47772216796875,670.9554443359375,693.8098591476354,671.0401900986494,0.5786921761294528,9.364866855321452e-06,714,True,50,21,[],"v4.0-K[2,6]-phiapprox"
10093,0.01595381088554859,0.4329715073108673,0.8576010465621948,2.0581908226013184,0.060366299003362656,505.1513977050781,1020.3027954101562,1043.143184967216,1020.3877812458503,0.35420137980823563,6.044190286047524e-06,712,True,50,20,[],"v4.0-K[2,6]-phiapprox"
10094,0.006450345739722252,0.3188181519508362,0.7759170532226562,3.0,0.04753534868359566,552.4734497070312,1114.9468994140625,1137.7661770467232,1115.0322479204635,0.2907150837895782,0.39940255880355835,709,False,50,38,['alpha'],"v4.0-K[2,6]-phiapprox"
10095,0.03985169157385826,0.46448785066604614,0.4961667060852051,4.999999523162842,0.03508331999182701,426.11236572265625,862.2247314453125,885.0651210023724,862.3097172810066,0.45524692383213106,0.496505469083786,712,False,50,37,[],"v4.0-K[2,6]-phiapprox"
10097,0.013735881075263023,0.33623114228248596,0.9990000128746033,2.1036996841430664,0.0556841641664505,470.5441589355469,951.0883178710938,973.9636970740919,951.1727060567478,0.4026391194933503,0.0020618014968931675,717,False,45,10,['rho'],"v4.0-K[2,6]-phiapprox"
10098,0.022129258140921593,0.21929486095905304,0.8799657225608826,2.8268885612487793,0.05287589132785797,325.27606201171875,660.5521240234375,683.3925135804974,660.6371098591316,0.5841586641491994,9.657283953856677e-06,712,True,50,14,[],"v4.0-K[2,6]-phiapprox"
10099,0.01384163461625576,0.2339644879102707,0.9834845066070557,2.4503822326660156,0.057348813861608505,398.7608642578125,807.521728515625,830.3761433273229,807.6064742783369,0.4916417637379824,6.798010872444138e-06,714,True,49,26,[],"v4.0-K[2,6]-phiapprox"
10101,0.032176364213228226,0.19432425498962402,0.9990000128746033,2.5514373779296875,0.08772160112857819,326.54827880859375,663.0965576171875,685.9579703306575,663.18118385132,0.5842838422950221,3.590355390770128e-06,715,True,49,18,['rho'],"v4.0-K[2,6]-phiapprox"
10102,0.04717139154672623,0.6336212158203125,0.19651544094085693,5.0,0.12496388703584671,457.9062805175781,925.8125610351562,948.6809618699594,925.8970680774098,0.417871147142609,0.0608779639005661,716,False,50,28,[],"v4.0-K[2,6]-phiapprox"
10103,0.30147215723991394,0.0010000000474974513,0.6570291519165039,5.0,0.08114034682512283,244.62034606933594,499.2406921386719,522.1299989272771,499.32484361132265,0.6903156681177446,0.03952101618051529,719,False,50,12,['phi'],"v4.0-K[2,6]-phiapprox"
10104,0.03841105476021767,0.36464667320251465,0.9990000128746033,2.123978614807129,0.27736714482307434,561.599609375,1133.19921875,1156.0606314634701,1133.2838449841327,0.28504895928470775,3.5490450045472244e-06,715,True,50,35,['rho'],"v4.0-K[2,6]-phiapprox"
10106,0.01296438742429018,0.26819735765457153,0.8673667907714844,2.8435401916503906,0.06942589581012726,444.8527526855469,899.7055053710938,922.594812159699,899.7896568437445,0.43682555553920455,9.887733540381305e-06,719,True,50,39,[],"v4.0-K[2,6]-phiapprox"
10107,0.007017084863036871,0.22737431526184082,0.9243990778923035,4.040044784545898,0.03460019826889038,396.17095947265625,802.3419189453125,825.1963337570104,802.4266647080244,0.4949434905288477,6.712165486533195e-06,714,True,50,16,['alpha'],"v4.0-K[2,6]-phiapprox"
10109,0.015165013261139393,0.2265559881925583,0.9990000128746033,3.7900137901306152,0.07538102567195892,345.1369934082031,700.2739868164062,723.1632936050115,700.358138289057,0.5630636579134984,4.441923465492437e-06,719,True,47,9,['rho'],"v4.0-K[2,6]-phiapprox"
10110,0.015165013261139393,0.2265559881925583,0.9990000128746033,3.7900137901306152,0.07538102567195892,345.1369934082031,700.2739868164062,723.1632936050115,700.358138289057,0.5630636579134984,4.441923465492437e-06,719,True,47,9,['rho'],"v4.0-K[2,6]-phiapprox"
10111,0.009419889189302921,0.3480949103832245,0.9990000128746033,2.3591909408569336,0.16257840394973755,575.6979370117188,1161.3958740234375,1184.243281125509,1161.4807396528577,0.26504509823813105,6.48395416646963e-06,713,True,50,7,"['alpha', 'rho']","v4.0-K[2,6]-phiapprox"
10112,0.0010000000474974513,0.2679443657398224,0.9990000128746033,2.3916640281677246,0.030235806480050087,568.34375,1146.6875,1169.492653329483,1146.7730920114122,0.26827613089364,5.169712494534906e-06,707,True,49,9,"['alpha', 'rho']","v4.0-K[2,6]-phiapprox"
10114,0.010645614005625248,0.26699212193489075,0.8284949660301208,2.0,0.0034143603406846523,471.58734130859375,953.1746826171875,975.9939602498481,953.2600311235886,0.3945595249086873,8.984648957266472e-06,709,True,50,32,"['alpha', 'capacity', 'epsilon']","v4.0-K[2,6]-phiapprox"
10115,0.05567386373877525,0.2875610291957855,0.4847168028354645,2.0,0.11912029981613159,363.7302551269531,737.4605102539062,760.2938724029225,737.545616636885,0.5343438169795499,5.581103778240504e-06,711,True,50,8,['capacity'],"v4.0-K[2,6]-phiapprox"
10116,0.008634327910840511,0.19070382416248322,0.7746292948722839,4.815728664398193,0.012583569623529911,362.8556823730469,735.7113647460938,758.5937125913349,735.7956344090151,0.5399923736763294,6.476142971223453e-06,718,True,47,17,['alpha'],"v4.0-K[2,6]-phiapprox"
10117,0.037821412086486816,0.18565109372138977,0.31010034680366516,6.0,0.05147769674658775,285.5512390136719,581.1024780273438,603.9638907408138,581.1871042614763,0.636475609843161,9.389681508764625e-06,715,True,46,8,['capacity'],"v4.0-K[2,6]-phiapprox"
10120,0.0010000000474974513,0.08501259237527847,0.9536222815513611,4.317399024963379,0.0010000050533562899,357.6385803222656,725.2771606445312,748.1385733580013,725.3617868786638,0.5447039653643928,5.495331606653053e-06,715,True,50,5,"['alpha', 'epsilon']","v4.0-K[2,6]-phiapprox"
10121,0.01565667800605297,0.3313615024089813,0.9360747337341309,2.7941904067993164,0.15304413437843323,513.5230712890625,1037.046142578125,1059.8795047271412,1037.1312489611037,0.3425754665749726,6.12909343544743e-06,711,True,50,35,[],"v4.0-K[2,6]-phiapprox"
10125,0.015532366931438446,0.3330520689487457,0.6933419108390808,3.000000238418579,0.03084089420735836,435.311279296875,880.62255859375,903.4979377967481,880.706946779404,0.44736763987569506,0.523751974105835,717,False,50,16,[],"v4.0-K[2,6]-phiapprox"
10126,0.034329939633607864,0.18050925433635712,0.9990000128746033,4.236289978027344,0.06895752996206284,261.89642333984375,533.7928466796875,556.6821534682928,533.8769981523383,0.6684445092667675,5.629503903037403e-06,719,True,49,10,['rho'],"v4.0-K[2,6]-phiapprox"
10128,0.02627566270530224,0.2862563133239746,0.3530213236808777,5.999999523162842,0.17659607529640198,488.6338195800781,987.2676391601562,1010.0586281742176,987.3534760700275,0.36911536164781866,6.735212537023472e-06,705,True,49,35,['capacity'],"v4.0-K[2,6]-phiapprox"
10130,0.005002736579626799,0.2096427083015442,0.8586006760597229,2.57010555267334,0.1388150453567505,601.5753784179688,1213.1507568359375,1235.998163938009,1213.2356224653577,0.23200910629885152,9.042873898579273e-06,713,True,50,8,['alpha'],"v4.0-K[2,6]-phiapprox"
10135,0.04792677238583565,0.5163272619247437,0.19041305780410767,6.0,0.14012432098388672,448.6457824707031,907.2915649414062,930.0754567221965,907.3775248267931,0.41992188911147,5.735631475545233e-06,704,True,50,39,['capacity'],"v4.0-K[2,6]-phiapprox"
10137,0.026196187362074852,0.19659575819969177,0.8342939615249634,4.813047885894775,0.03556588292121887,249.50115966796875,509.0023193359375,531.8846671811787,509.0865889988589,0.6836967372999012,9.948128536052536e-06,718,True,48,15,[],"v4.0-K[2,6]-phiapprox"
10139,0.007047736551612616,0.4050479531288147,0.9990000128746033,2.560248851776123,0.20438534021377563,624.3131103515625,1258.626220703125,1281.4172097171863,1258.7120576129962,0.19393718760368572,3.297271905466914e-05,705,True,48,8,"['alpha', 'rho']","v4.0-K[2,6]-phiapprox"
10140,0.018127964809536934,0.19491055607795715,0.8792482018470764,2.0,0.07241316884756088,393.5361633300781,797.0723266601562,819.9337393736263,797.1569528942888,0.4990041217352964,8.198565410566516e-06,715,True,50,10,['capacity'],"v4.0-K[2,6]-phiapprox"
