model,outcome,predictor,beta,se,ci_lower,ci_upper,t,p,r2,r2_adj,n,predictor_set
WM-RL,alpha_neg,ies_avoidance,0.00019452885365453404,0.0013722109374316286,-0.00251683005271795,0.002905887760027018,0.1417630834648748,0.8874573659821359,0.0007807329472263591,-0.01920365239382904,154,
WM-RL,alpha_neg,ies_hyperarousal,-2.1970460601543293e-05,0.0018512694827096852,-0.003679903700395869,0.0036359627791927827,-0.011867780896698705,0.9905468728387052,0.0007807329472263591,-0.01920365239382904,154,
WM-RL,phi,intercept,0.19927587120329213,0.029426806979279085,0.14113128642195436,0.2574204559846299,6.771916210400008,2.6955029893648014e-10,0.05364535698706041,0.03471826412680157,154,
WM-RL,phi,ies_intrusion,-0.0009490369883492164,0.004028478130784114,-0.008908928402326897,0.007010854425628464,-0.2355820132414355,0.8140783664319686,0.05364535698706041,0.03471826412680157,154,
WM-RL,phi,ies_avoidance,0.0003387325628644577,0.00302664734241346,-0.005641636055725007,0.006319101181453923,0.11191675955030528,0.9110390320880246,0.05364535698706041,0.03471826412680157,154,
WM-RL,phi,ies_hyperarousal,0.006775024408446915,0.004083293396875136,-0.0012931767820139996,0.014843225598907831,1.6592058786742359,0.09916372605996845,0.05364535698706041,0.03471826412680157,154,
WM-RL,rho,intercept,0.8293065947145699,0.03583262779914238,0.7585047144265579,0.900108475002582,23.143895540209822,2.320725840646289e-51,0.047303705992188916,0.02824978011203272,154,
WM-RL,rho,ies_intrusion,0.0014886569445202442,0.00490542373690142,-0.008203995967482476,0.011181309856522966,0.3034716314763412,0.7619509748006088,0.047303705992188916,0.02824978011203272,154,
WM-RL,rho,ies_avoidance,0.0036741937391668376,0.0036855078356388465,-0.00360802084029745,0.010956408318631126,0.9969301119475038,0.3204039349585439,0.047303705992188916,0.02824978011203272,154,
WM-RL,rho,ies_hyperarousal,-0.010861374320738578,0.004972171550516863,-0.020685914593489098,-0.0010368340479880566,-2.1844327393751177,0.030483276119155352,0.047303705992188916,0.02824978011203272,154,
WM-RL,capacity,intercept,3.1902647311981456,0.20100930985144652,2.793089364304773,3.587440098091518,15.871228718490062,6.4752673794711016e-34,0.025013450664610803,0.0055137196779030395,154,
WM-RL,capacity,ies_intrusion,-0.001793558739723353,0.027517821059918412,-0.056166168066408326,0.05257905058696162,-0.06517807990022124,0.9481189983526268,0.025013450664610803,0.0055137196779030395,154,
WM-RL,capacity,ies_avoidance,-0.03435501481118971,0.020674492271303465,-0.07520585430343851,0.006495824681059102,-1.6617102060046733,0.09865942831181741,0.025013450664610803,0.0055137196779030395,154,
WM-RL,capacity,ies_hyperarousal,0.04295741945241563,0.027892254440136603,-0.012155034786304468,0.09806987369113573,1.5401200195062197,0.1256380174227565,0.025013450664610803,0.0055137196779030395,154,
WM-RL,epsilon,intercept,0.06068544035672105,0.016226657888762885,0.028623100531836275,0.09274778018160582,3.7398607139395166,0.0002614434926730665,0.018381202439237687,-0.0012511735119775658,154,
WM-RL,epsilon,ies_intrusion,-0.000308527659205183,0.0022214009316955884,-0.004697805602179653,0.004080750283769287,-0.1388887772589907,0.8897243318338082,0.018381202439237687,-0.0012511735119775658,154,
WM-RL,epsilon,ies_avoidance,0.000499468107310081,0.001668967041169608,-0.0027982527664115065,0.003797188981031669,0.29926780756560356,0.7651499647575773,0.018381202439237687,-0.0012511735119775658,154,
WM-RL,epsilon,ies_hyperarousal,0.001786998423092723,0.002251627404128253,-0.0026620041678953555,0.006236001014080801,0.793647483511857,0.42865436494088416,0.018381202439237687,-0.0012511735119775658,154,
WM-RL,alpha_pos,intercept,0.07567277277302827,0.03039131918318037,0.015628828004799138,0.1357167175412574,2.4899469587653917,0.013852519410447212,0.011428523692021852,0.004924763979469393,154,LESS
WM-RL,alpha_pos,lec_total,-0.003834745952051198,0.002892835743662439,-0.009550103964945773,0.0018806120608433766,-1.3256009991069402,0.18696075611589041,0.011428523692021852,0.004924763979469393,154,LESS
WM-RL,alpha_pos,intercept,0.055093154885735726,0.019299065188321425,0.01696410898083333,0.09322220079063812,2.8547058807322245,0.0049096099001633125,0.007361743537283694,0.000831228692134256,154,IES-R
WM-RL,alpha_pos,ies_total,-0.00054926114133887,0.000517323543447718,-0.0015713341248397062,0.0004728118421619663,-1.0617362157505976,0.2900394844749287,0.007361743537283694,0.000831228692134256,154,IES-R
WM-RL,alpha_pos,intercept,0.08744415435533061,0.03304781522234476,0.022148316604798005,0.1527399921058632,2.6459889637789615,0.009007908607087214,0.016815699555503882,0.0037933909403449206,154,LESS + IES-R
WM-RL,alpha_pos,lec_total,-0.003513621187607243,0.002915930324644999,-0.009274913184941547,0.0022476708097270625,-1.2049743294312116,0.23009829287085956,0.016815699555503882,0.0037933909403449206,154,LESS + IES-R
WM-RL,alpha_pos,ies_total,-0.0004733427472594498,0.0005203842507903361,-0.0015015173899379148,0.0005548318954190151,-0.9096023689044359,0.36448184737464717,0.016815699555503882,0.0037933909403449206,154,LESS + IES-R
WM-RL,alpha_neg,intercept,0.06093560512016505,0.019170065238224846,0.02306142363335576,0.09880978660697434,3.1786853285538275,0.0017928005506932557,0.0501754810112941,0.04392663549163156,154,LESS
WM-RL,alpha_neg,lec_total,-0.005170632744245618,0.0018247266462907894,-0.008775734099228476,-0.0015655313892627585,-2.8336478533681824,0.005227301121695074,0.0501754810112941,0.04392663549163156,154,LESS
WM-RL,alpha_neg,intercept,0.012336067625835178,0.01246277097557814,-0.012286553314253736,0.03695868856592409,0.9898334527697533,0.3238286014065964,0.0003800524606704103,-0.006196394562614671,154,IES-R
WM-RL,alpha_neg,ies_total,-8.030945822728262e-05,0.00033407239051997945,-0.000740334251625303,0.0005797153351707378,-0.24039537688906876,0.810347681590303,0.0003800524606704103,-0.006196394562614671,154,IES-R
