participant_id,alpha,phi,rho,capacity,kappa,v_scale,A,delta,t0,nll,aic,bic,aicc,pseudo_r2,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10081,0.003813125239258313,0.13375761153096158,0.08645143825350027,2.9980844848216686,-0.2906336866354376,0.42875429841384866,0.08409602462212959,0.09561777084668828,0.21921519134371237,99.54066943348542,217.08133886697084,258.2318817512169,217.336658015907,0.8732785706810442,715,True,50,6,['alpha'],"v4.0-K[2,6]-phiapprox-lba"
10083,0.0041657210905605485,0.12563464833276078,0.06426467221769734,2.0000029524730127,0.06440939336337348,0.49263593654373183,0.1662840690139419,0.13624548067684247,0.05,436.4441448037269,890.8882896074538,931.8865016337497,891.148029867194,0.4348953330982137,703,True,50,2,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10084,0.6160679203799303,0.8399037590345524,0.904550824101963,6.0,1.0,0.3924736399877094,0.13433040263904472,0.0622938516848382,0.08309984586939945,-102.41982604113585,-186.8396520822717,-145.6639695168751,-186.58505519401143,1.1300230728688128,717,True,50,7,"['capacity', 'kappa']","v4.0-K[2,6]-phiapprox-lba"
10086,0.001,0.0070173044419919615,0.015330663766835142,5.9999448663168975,1.0,0.29624204886492567,0.05652575674719746,0.02475515020682393,0.05,132.69564336183976,283.3912867236795,318.68549250047386,283.88715449227453,0.6761802150390572,373,True,50,1,"['alpha', 'phi', 'capacity', 'kappa', 't0']","v4.0-K[2,6]-phiapprox-lba"
10087,0.0033511251178143823,0.06776811953404609,0.07693844605663246,2.0,0.3394495155365608,0.49010560448322593,0.13062259447092656,0.11149486167765368,0.05,141.65092112160792,301.30184224321584,342.4271750269445,301.5578877624193,0.8191637799541213,713,True,50,8,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10088,0.0036866581026109447,0.055860236481592926,0.12322826786293459,2.0,0.48562649341148817,0.4898396319902244,0.18318470020289268,0.06222861366412286,0.05,30.749587290203934,79.49917458040787,120.14491226479456,79.76944485067814,0.9585954429672638,676,True,50,5,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10089,0.0017193825586308998,0.09616250827383631,0.05394177830953523,2.5629919072778566,0.0852267074203274,0.6944302325263099,0.18974844647702507,0.18932467852683216,0.05,258.44018527306645,534.8803705461329,576.0434920487787,535.1353280532151,0.6714491698711555,716,True,50,10,"['alpha', 't0']","v4.0-K[2,6]-phiapprox-lba"
10092,0.00740168248520204,0.11619253986908025,0.17516658481809924,2.0,0.10133091115054566,0.4136155671966022,0.22556575612042257,0.05646206327579037,0.05,301.2598336371301,620.5196672742602,661.3629256881692,620.783984454877,0.6031569927878567,691,True,50,2,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10093,0.004865110078902116,0.2835959439379339,0.13959327595754756,2.0,0.3128050130676608,0.5119193572862432,0.2990272346966172,0.08923063647146506,0.05,633.5395706899208,1285.0791413798415,1326.0388643952322,1285.340010945059,0.17618204448244001,700,True,50,3,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10094,0.00313528814594906,0.19397645582704603,0.07023025321773646,3.6616361211020108,-0.032036579238836446,0.4624342417534339,0.24865599519243714,0.05127836675236903,0.05,636.1445277564903,1290.2890555129807,1331.1062269521035,1290.5541512419938,0.15958823952400225,689,True,50,1,"['alpha', 't0']","v4.0-K[2,6]-phiapprox-lba"
10095,0.005161819895804283,0.2576266299950082,0.18911169880124865,2.786463278417376,-0.02679531678719758,0.4927673983956442,0.38667126882221775,0.0764036306807491,0.05,679.7093161941774,1377.4186323883548,1418.3397010851995,1377.6806411219793,0.11234134533193041,697,True,50,2,"['alpha', 't0']","v4.0-K[2,6]-phiapprox-lba"
10097,0.0037706366594918825,0.2023298188718301,0.09573955618846224,2.213014466037001,-0.3426683142547376,0.4776819964837553,0.22061213482015943,0.09142778373165829,0.05,529.3741238061313,1076.7482476122625,1117.8735803959912,1077.0042931314658,0.32418360021100623,713,True,50,4,"['alpha', 't0']","v4.0-K[2,6]-phiapprox-lba"
10098,0.0031910983362888694,0.0861604902054033,0.09474174089762519,2.0,0.06836809702980182,0.4675549264031979,0.18868845726502265,0.11368310030752926,0.05,370.7248046764271,759.4496093528542,800.5623105555619,759.7060196092644,0.5260558153089097,712,True,50,3,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10099,0.002735918253596003,0.10794413132202989,0.06754987596050911,2.988317220525097,0.07407828170218933,0.4887327748829165,0.13636076110588044,0.1351777042190675,0.05,325.925149769155,669.85029953831,710.9756323220387,670.1063450575134,0.583913245071372,713,True,50,5,"['alpha', 't0']","v4.0-K[2,6]-phiapprox-lba"
10101,0.00469063003138407,0.04953413784630289,0.12524007443670768,2.0,0.6877899390591595,0.4121888346389145,0.2194642100034513,0.06420087513578582,0.05,304.16262944368833,626.3252588873767,667.3745348804458,626.5835085286966,0.6084006271660423,707,True,50,2,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10102,0.0094639723939966,0.16036471058848367,0.17902928124841846,2.0,0.003647063510064044,0.4662928110727649,0.27647052332993477,0.01027102601732338,0.12612259855000196,358.03734200540515,734.0746840108103,774.9698906208935,734.337457733438,0.531079664330175,695,True,50,1,"['alpha', 'capacity', 'kappa', 'delta']","v4.0-K[2,6]-phiapprox-lba"
10103,0.006420309108110162,0.0337297119823,0.14832489192127818,3.2817554690507658,1.0,0.3900908329852534,0.16623852437427475,0.02380487231454457,0.21759092094377638,-79.808173294672,-141.616346589344,-100.41559436985457,-141.36246788694626,1.10103550756362,719,True,50,2,"['alpha', 'kappa']","v4.0-K[2,6]-phiapprox-lba"
10104,0.003263814637526112,0.1543578731691035,0.12875688666865434,2.358013967501246,0.3499332722712545,0.38310920324823683,0.2358280886639537,0.02369358268581481,0.09948087560981532,624.1118135095154,1266.2236270190308,1307.2474072443413,1266.4826198247863,0.19419708587578133,705,True,50,1,['alpha'],"v4.0-K[2,6]-phiapprox-lba"
10106,0.003524278104053321,0.09797115556401448,0.11168635928071534,2.0,0.21900380137849995,0.49761468252639174,0.2477428010159815,0.034051135217410156,0.09097545398171092,374.8398815781166,767.6797631562332,808.5360367567922,767.9436927750015,0.5069451388489015,692,True,50,5,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox-lba"
10107,0.00391069088285926,0.11449769817533575,0.1287664906677968,2.4164733240515996,0.27470786551274173,0.35988975396442474,0.16174988963954956,0.06968055907001074,0.05,403.6298909195949,825.2597818391898,866.2707870446122,825.5191478334261,0.4781253412583426,704,True,50,12,"['alpha', 't0']","v4.0-K[2,6]-phiapprox-lba"
10109,0.0023756197756418726,0.07463655083586153,0.12034867033744107,2.0,0.19483824206470093,0.4407994085169928,0.13779492225051887,0.07621270332119776,0.05,173.09908299950808,364.19816599901617,405.2347031364553,364.45678668867134,0.7768249639670156,706,True,50,3,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10110,0.0023770596872276168,0.07471931811513507,0.120479612399626,2.0,0.19493611940795044,0.4406428999855723,0.13779287795027037,0.07619917782825111,0.05,173.09903144492915,364.1980628898583,405.23460002729746,364.4566835795135,0.7768250304358543,706,True,50,9,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10111,0.0016134097531451108,0.15781007735340993,0.05657632965350224,4.999445513252081,-0.03254773546601243,0.47247054120868187,0.23125953658567128,0.05902097853147431,0.05,640.3627074017938,1298.7254148035877,1339.697985786899,1298.9859068441087,0.16849749565466976,701,True,50,2,"['alpha', 't0']","v4.0-K[2,6]-phiapprox-lba"
10112,0.0024548711100398565,0.1713572105114597,0.13175599141288957,4.181769712658649,0.7784751571008496,0.4435428353602272,0.34472730643521093,0.001,0.14702240822570758,533.5532770862397,1085.1065541724795,1124.0900708215227,1085.4326411290012,0.13583430195873036,562,True,50,1,"['alpha', 'delta']","v4.0-K[2,6]-phiapprox-lba"
10114,0.0037820761448569087,0.13195007112820942,0.06497055278437884,2.0,0.13743502837568716,0.47119263019274804,0.20812642753750468,0.08068794841003163,0.05,529.2184129488965,1076.436825897793,1117.4606061231034,1076.6958187035484,0.3167158029513678,705,True,50,4,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10115,0.004858965260980815,0.031179273933059123,0.09453572781631876,2.0,0.7984866312239947,0.3852746040834598,0.18251895353309402,0.06105125195340256,0.05,297.839612724766,613.679225449532,654.496396888655,613.9443211785454,0.6065235141575794,689,True,50,1,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
