participant_id,alpha,phi,rho,capacity,kappa_s,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10088,0.003797583281993866,0.14034511148929596,0.9990000128746033,2.022226572036743,0.838800311088562,0.0627594068646431,247.70242309570312,507.40484619140625,534.8803534634669,507.52265825311736,0.6868493582885744,4.317552338761743e-06,720,True,50,21,"['alpha', 'rho']","v4.0-K[2,6]-phiapprox"
10089,0.008861348032951355,0.1717025637626648,0.1681196242570877,2.999999761581421,0.5259745121002197,0.027984561398625374,359.41448974609375,730.8289794921875,758.2710604939514,730.9474562199731,0.5430821687360842,0.22238373756408691,716,False,50,36,['alpha'],"v4.0-K[2,6]-phiapprox"
10092,0.011047671549022198,0.1705128401517868,0.28901350498199463,3.9342241287231445,0.9841121435165405,0.08020569384098053,320.6496276855469,653.2992553710938,680.7245531451313,653.4180672522818,0.591221471816981,7.673992513446137e-06,714,True,50,32,[],"v4.0-K[2,6]-phiapprox"
10093,0.00791226327419281,0.28837016224861145,0.10682617872953415,4.58725643157959,0.20279157161712646,0.0010000000474974513,504.1269836425781,1020.2539672851562,1047.662434753628,1020.3731162213264,0.35551101725766765,0.011808717623353004,712,False,49,30,"['alpha', 'epsilon']","v4.0-K[2,6]-phiapprox"
10094,0.005446301773190498,0.18512924015522003,0.13838855922222137,2.999999761581421,0.29185688495635986,0.1307213455438614,547.8546142578125,1107.709228515625,1135.0923616748178,1107.8288866352832,0.29664490777718544,0.17667101323604584,709,False,50,40,['alpha'],"v4.0-K[2,6]-phiapprox"
10095,0.03336918726563454,0.49876606464385986,0.8560049533843994,5.0,0.9125561714172363,0.04939670115709305,408.9458923339844,829.8917846679688,857.3002521364406,830.0109336041389,0.4771929876821519,0.6423333883285522,712,False,49,32,[],"v4.0-K[2,6]-phiapprox"
10097,0.008513659238815308,0.2919507324695587,0.2715242803096771,2.0,0.5150003433227539,0.048503052443265915,461.8321533203125,935.664306640625,963.1147616842227,935.7826164997799,0.41369910450531633,8.575746505812276e-06,717,True,50,31,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10098,0.007837708108127117,0.11964578926563263,0.2018643468618393,3.0,0.6947641372680664,0.05218859016895294,319.8221435546875,651.644287109375,679.0527545778468,651.7634360455452,0.5911310946525897,0.07729632407426834,712,False,49,20,['alpha'],"v4.0-K[2,6]-phiapprox"
10099,0.007587627042084932,0.15326635539531708,0.22571925818920135,2.18276309967041,0.8543850183486938,0.06363680213689804,381.82342529296875,775.6468505859375,803.072148359975,775.7656624671256,0.5132343706629106,7.784486115269829e-06,714,True,50,29,['alpha'],"v4.0-K[2,6]-phiapprox"
10101,0.4471778869628906,0.566239595413208,0.9200282692909241,5.237786293029785,0.8744779825210571,0.09103856235742569,325.1164855957031,662.2329711914062,689.6666664475703,662.3516152592028,0.5861066036192055,9.266003871744033e-06,715,True,50,20,[],"v4.0-K[2,6]-phiapprox"
