model,parameter,predictor,n,rho,p_uncorrected,p_fwe,significant
WM-RL+K,phi,ies_hyperarousal,154,0.2664150005578441,0.000838516317075366,0.02934807109763781,True
WM-RL+K,rho,lec_total,154,-0.04197189852034063,0.60526660107544,1.0,False
WM-RL+K,rho,lec_personal,154,0.0427196409427537,0.5988480214051485,1.0,False
WM-RL+K,rho,ies_intrusion,154,-0.08015893559611502,0.3230385684326158,1.0,False
WM-RL+K,rho,ies_avoidance,154,-0.09598066722600414,0.23636537852861525,1.0,False
WM-RL+K,rho,ies_hyperarousal,154,-0.19720710254605095,0.014227761751768127,0.4979716613118845,False
WM-RL+K,capacity,lec_total,154,-0.041955734366134555,0.6054056897537781,1.0,False
WM-RL+K,capacity,lec_personal,154,-0.11657384073976194,0.14993231114029182,1.0,False
WM-RL+K,capacity,ies_intrusion,154,-0.09818336460469226,0.22573220851725626,1.0,False
WM-RL+K,capacity,ies_avoidance,154,-0.1350360439349814,0.09496741207417679,1.0,False
WM-RL+K,capacity,ies_hyperarousal,154,-0.05020204036212996,0.536374138060561,1.0,False
WM-RL+K,kappa,lec_total,154,0.22356200743043056,0.005318308119328133,0.18614078417648466,False
WM-RL+K,kappa,lec_personal,154,-0.03692397479111213,0.6493708933526607,1.0,False
WM-RL+K,kappa,ies_intrusion,154,-0.07096392097316388,0.38180929541062947,1.0,False
WM-RL+K,kappa,ies_avoidance,154,-0.04128872458481965,0.61115746254278,1.0,False
WM-RL+K,kappa,ies_hyperarousal,154,-0.01700503743838732,0.8341962641851358,1.0,False
WM-RL+K,epsilon,lec_total,154,-0.14535139347793874,0.0720769458914691,1.0,False
WM-RL+K,epsilon,lec_personal,154,-0.1995537668131095,0.013093002629794518,0.4582550920428081,False
WM-RL+K,epsilon,ies_intrusion,154,0.011668697398780402,0.8857927781297354,1.0,False
WM-RL+K,epsilon,ies_avoidance,154,-0.022069497203485496,0.7858703938919152,1.0,False
WM-RL+K,epsilon,ies_hyperarousal,154,-0.011044015339832769,0.8918685934525957,1.0,False
WM-RL+M5,alpha_pos,lec_total,154,-0.07712760395442715,0.3417325937305855,1.0,False
WM-RL+M5,alpha_pos,lec_personal,154,-0.046321555773680925,0.5683668664067864,1.0,False
WM-RL+M5,alpha_pos,ies_intrusion,154,-0.006320300991969668,0.9379914209705331,1.0,False
WM-RL+M5,alpha_pos,ies_avoidance,154,-0.031144870588058413,0.7013922204548892,1.0,False
WM-RL+M5,alpha_pos,ies_hyperarousal,154,-0.008843340823845405,0.9133206849107607,1.0,False
WM-RL+M5,alpha_neg,lec_total,154,-0.07754537047359346,0.3391163103111001,1.0,False
WM-RL+M5,alpha_neg,lec_personal,154,0.09122540297761736,0.26050344618174454,1.0,False
