participant_id,alpha,phi,rho,capacity,kappa,phi_rl,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10072,0.1117597371339798,0.952671468257904,0.6618012189865112,2.225142478942871,0.35828304290771484,0.07706627994775772,0.0010000001639127731,299.21295166015625,612.4259033203125,644.46119030365,612.5836497991858,0.6206749781115962,7.650690349692013e-06,718,True,48,9,['epsilon'],"v4.0-K[2,6]-phiapprox"
10073,0.1117597371339798,0.952671468257904,0.6618012189865112,2.225142478942871,0.35828304290771484,0.07706627994775772,0.0010000001639127731,299.21295166015625,612.4259033203125,644.46119030365,612.5836497991858,0.6206749781115962,7.650690349692013e-06,718,True,48,9,['epsilon'],"v4.0-K[2,6]-phiapprox"
10074,0.08083360642194748,0.9990000128746033,0.7328097224235535,2.0,0.7102627754211426,0.06871996074914932,0.013869978487491608,386.030517578125,786.06103515625,818.0865660404473,786.2190041266308,0.5099300979432773,0.012479584664106369,717,False,49,1,"['phi', 'capacity']","v4.0-K[2,6]-phiapprox"
10075,0.0522349588572979,0.08771481364965439,0.0718819871544838,3.0,0.35070812702178955,0.05716078728437424,0.12256152182817459,395.54608154296875,805.0921630859375,837.1176939701348,805.2501320563183,0.49784998694707416,0.06463811546564102,717,False,50,21,[],"v4.0-K[2,6]-phiapprox"
10076,0.01884080097079277,0.21769769489765167,0.1619558036327362,2.0,0.6647179126739502,0.056595578789711,0.0035566333681344986,480.29351806640625,974.5870361328125,1006.5438909230601,974.7465802923566,0.3842507036075372,8.847800927469507e-06,710,True,48,25,"['capacity', 'epsilon']","v4.0-K[2,6]-phiapprox"
10077,0.13345158100128174,0.41289466619491577,0.9990000128746033,2.000000238418579,0.846259355545044,0.05003645271062851,0.10978417098522186,323.19854736328125,660.3970947265625,692.4421242306098,660.5546193397834,0.5908372798346726,4.407540473039262e-06,719,True,49,17,"['rho', 'capacity']","v4.0-K[2,6]-phiapprox"
10078,0.03670002147555351,0.0010000001639127731,0.037026651203632355,3.306015968322754,0.4655979871749878,0.045424140989780426,0.08076886832714081,367.87359619140625,749.7471923828125,781.7922218868598,749.9047169960334,0.5342795859614755,6.67798258291441e-06,719,True,49,16,['phi'],"v4.0-K[2,6]-phiapprox"
10079,0.02200774848461151,0.19492734968662262,0.338981568813324,2.0,0.46477365493774414,0.019474659115076065,0.03157168626785278,300.7196960449219,615.4393920898438,647.484421593891,615.5969167030646,0.6192950437282514,6.534392468893202e-06,719,True,50,15,['capacity'],"v4.0-K[2,6]-phiapprox"
10081,0.11183835566043854,0.9008346199989319,0.5123544335365295,2.0,-0.6750892400741577,0.10315538197755814,0.005629338324069977,350.61065673828125,715.2213134765625,747.2370746452871,715.379505566958,0.5542743393343845,8.491733751725405e-06,716,True,50,15,"['capacity', 'epsilon']","v4.0-K[2,6]-phiapprox"
10083,0.02172362618148327,0.22763141989707947,0.08831489086151123,5.0,0.22197580337524414,0.020329119637608528,0.04275794327259064,397.6312255859375,809.262451171875,841.1499494145496,809.4236022510117,0.4851500152773468,0.006454861722886562,703,False,49,26,[],"v4.0-K[2,6]-phiapprox"
