dataset,subject,nll,converged,true_alpha_pos,recovered_alpha_pos,true_alpha_neg,recovered_alpha_neg,true_phi,recovered_phi,true_rho,recovered_rho,true_capacity,recovered_capacity,true_kappa,recovered_kappa,true_phi_rl,recovered_phi_rl,true_epsilon,recovered_epsilon
1,3,964.3363037109375,True,0.6810843712499934,0.8935033679008484,0.778321202939079,0.0010000000474974513,0.2034174073471856,0.23991955816745758,0.8383255924406395,0.8114071488380432,3.896750858540213,6.453271865844727,0.33283789138553865,0.3921419382095337,0.2890467270113982,0.45388904213905334,0.5421555839036124,0.4537699520587921
1,4,150.40869140625,True,0.8578913630338733,0.5267657041549683,0.46546022537020876,0.3701532781124115,0.22320937382748077,0.15953056514263153,0.012394422957972162,0.0010000000474974513,6.472434955323676,1.0,0.9476880934502885,0.9535289406776428,0.01647179422146016,0.01800539717078209,0.055442309906285854,0.04760056361556053
1,5,449.7772521972656,True,0.10666799674245489,0.2079010009765625,0.5317106840899171,0.9990000128746033,0.9076050607836081,0.9748375415802002,0.23850174003385752,0.9497891068458557,4.722973464327959,1.5916249752044678,0.8840603620698839,0.8775904774665833,0.7159112603060435,0.24742691218852997,0.03750284254533904,0.0446985624730587
1,6,700.7263793945312,True,0.2081926459889241,0.19414013624191284,0.10410455123457256,0.16587749123573303,0.712060223314786,0.6738758087158203,0.3472951297644991,0.3611513376235962,5.927017916184996,6.60748291015625,0.6540657835557958,0.6638238430023193,0.1265830289349912,0.0587240606546402,0.15648649747789678,0.1810859888792038
1,7,159.15951538085938,True,0.514096713848963,0.9990000128746033,0.6819206342044017,0.0010000000474974513,0.6294912221500177,0.3365439474582672,0.16985043218823664,0.766558825969696,5.733146375726897,1.9999548196792603,0.961191144040561,0.9631807804107666,0.41896688449988684,0.7376812696456909,0.5947481712861178,0.4874727725982666
1,8,1307.93359375,True,0.8207335657293345,0.2666088342666626,0.3851915722323393,0.6087371706962585,0.7282119855255113,0.7263926267623901,0.8648501076822958,0.9058343768119812,5.144098698877328,5.001126766204834,0.26076099704621614,0.27060502767562866,0.6283242254675412,0.07390487939119339,0.41121216151558454,0.42514166235923767
1,9,162.3444061279297,True,0.2441429220296785,0.41836920380592346,0.09215147671281292,0.6715314984321594,0.7915876345132005,0.3799082040786743,0.6840328546661372,0.0010000000474974513,1.8408760192236233,3.13669490814209,0.9679378512744189,0.9647296071052551,0.8748629790290753,0.019930720329284668,0.33553746809149976,0.5640641450881958
1,10,416.8430480957031,True,0.31773889910337827,0.9990000128746033,0.4268549144620434,0.21237440407276154,0.996361478772475,0.9990000128746033,0.2448810385086398,0.9990000128746033,2.1236776432649487,1.9916331768035889,0.8760063670776945,0.8728433847427368,0.6840598336294965,0.687049925327301,0.47025812794670985,0.21186545491218567
1,11,906.7074584960938,True,0.7828247380999273,0.0010000000474974513,0.5436369379116405,0.9990000128746033,0.38953443803789967,0.7649813890457153,0.25640352470768,0.6657950282096863,6.664823927796563,5.347922325134277,0.611778821026137,0.6113228797912598,0.93149800056797,0.7617781162261963,0.06660944988599758,0.0010000000474974513
1,12,951.5055541992188,True,0.04964012964609497,0.04206572100520134,0.6793431127927463,0.8808450102806091,0.4195446093233476,0.0010000000474974513,0.14015265712912875,0.20058304071426392,3.676374619888218,7.0,0.5807717152388341,0.5549871921539307,0.04494170283320061,0.015277741476893425,0.468535860029014,0.5035038590431213
1,13,1043.1993408203125,True,0.6350457849270252,0.9199931621551514,0.18110399917651493,0.4781433641910553,0.814979555986855,0.9990000128746033,0.020698822836622114,0.9990000128746033,6.098655614731984,1.844838261604309,0.5167607349069274,0.5041924715042114,0.9648794402504701,0.6177719831466675,0.7583863025511585,0.6166421175003052
1,14,985.3443603515625,True,0.04721950263066899,0.0010000000474974513,0.052665294808455665,0.6009303331375122,0.9850305702287532,0.35644814372062683,0.6500932135130836,0.09860902279615402,2.3991681281496122,3.056838274002075,0.5959958409424045,0.6188594698905945,0.06441709459780719,0.5757406949996948,0.6512507519822556,0.6219645142555237
1,15,642.07763671875,True,0.44664133321446636,0.6402374505996704,0.207155221511742,0.1892591416835785,0.352052775184799,0.4199194312095642,0.31054820331246386,0.28958234190940857,4.779977264662508,4.5848188400268555,0.7245169128352879,0.7157908082008362,0.018144151168708666,0.010688732378184795,0.2700473856381863,0.1938517540693283
