Section,Parameter,Predictor,N,β,SE,t,p,R²,95% CI,r,p_fdr,sig_fdr,shapiro_w,shapiro_p,residuals_normal,bp_stat,bp_p,homoscedastic
phi (WM Decay Rate) ~ IES-R Total Score,phi_mean,ies_total,154,0.002,0.001,2.20,0.029*,0.031,"[0.000, 0.004]",0.176,0.202,False,0.812,0.0000,False,2.680,0.1016,True
phi (WM Decay Rate) ~ LEC-5 Personal Events,phi_mean,lec_personal_events,154,0.009,0.008,1.06,0.293,0.007,"[-0.008, 0.025]",0.085,0.617,False,0.782,0.0000,False,0.541,0.4621,True
phi (WM Decay Rate) ~ LEC-5 Total Events,phi_mean,lec_total_events,154,0.006,0.006,0.99,0.322,0.006,"[-0.006, 0.017]",0.080,0.643,False,0.785,0.0000,False,0.049,0.8244,True
phi_rl (RL Forgetting Rate) ~ IES-R Avoidance,phi_rl_mean,ies_avoidance,154,0.002,0.002,1.39,0.166,0.013,"[-0.001, 0.005]",0.112,0.554,False,0.345,0.0000,False,1.357,0.2441,True
phi_rl (RL Forgetting Rate) ~ IES-R Hyperarousal,phi_rl_mean,ies_hyperarousal,154,0.004,0.002,2.46,0.015*,0.038,"[0.001, 0.008]",0.196,0.119,False,0.384,0.0000,False,4.610,0.0318,False
phi_rl (RL Forgetting Rate) ~ IES-R Intrusion,phi_rl_mean,ies_intrusion,154,0.002,0.002,1.18,0.241,0.009,"[-0.001, 0.006]",0.095,0.617,False,0.337,0.0000,False,0.691,0.4059,True
phi_rl (RL Forgetting Rate) ~ IES-R Total Score,phi_rl_mean,ies_total,154,0.001,0.001,1.80,0.074,0.021,"[-0.000, 0.002]",0.145,0.353,False,0.356,0.0000,False,2.163,0.1413,True
phi_rl (RL Forgetting Rate) ~ LEC-5 Personal Events,phi_rl_mean,lec_personal_events,154,-0.005,0.005,-0.96,0.337,0.006,"[-0.015, 0.005]",-0.078,0.647,False,0.339,0.0000,False,0.719,0.3964,True
phi_rl (RL Forgetting Rate) ~ LEC-5 Total Events,phi_rl_mean,lec_total_events,154,-0.004,0.003,-1.07,0.286,0.007,"[-0.010, 0.003]",-0.086,0.617,False,0.349,0.0000,False,1.598,0.2062,True
rho (WM Weight) ~ IES-R Avoidance,rho_mean,ies_avoidance,154,-0.003,0.003,-1.05,0.296,0.007,"[-0.009, 0.003]",-0.085,0.617,False,0.820,0.0000,False,0.737,0.3907,True
rho (WM Weight) ~ IES-R Hyperarousal,rho_mean,ies_hyperarousal,154,-0.009,0.004,-2.54,0.012*,0.041,"[-0.016, -0.002]",-0.202,0.119,False,0.847,0.0000,False,1.814,0.1780,True
rho (WM Weight) ~ IES-R Intrusion,rho_mean,ies_intrusion,154,-0.006,0.004,-1.73,0.086,0.019,"[-0.013, 0.001]",-0.139,0.375,False,0.826,0.0000,False,1.075,0.2997,True
rho (WM Weight) ~ IES-R Total Score,rho_mean,ies_total,154,-0.002,0.001,-1.88,0.062,0.023,"[-0.005, 0.000]",-0.151,0.334,False,0.833,0.0000,False,1.321,0.2505,True
rho (WM Weight) ~ LEC-5 Personal Events,rho_mean,lec_personal_events,154,-0.001,0.010,-0.10,0.917,0.000,"[-0.021, 0.019]",-0.008,0.978,False,0.802,0.0000,False,0.464,0.4958,True
rho (WM Weight) ~ LEC-5 Total Events,rho_mean,lec_total_events,154,-0.010,0.007,-1.44,0.152,0.013,"[-0.023, 0.004]",-0.116,0.554,False,0.827,0.0000,False,1.103,0.2937,True
