dataset,subject,nll,converged,true_alpha_pos,recovered_alpha_pos,true_alpha_neg,recovered_alpha_neg,true_epsilon,recovered_epsilon
2,30,776.60400390625,True,0.11830964107904103,0.14461849629878998,0.04345037216264298,0.05258408933877945,0.17581393092299177,0.1985567957162857
2,31,833.7239379882812,True,0.7361257788691761,0.7530255913734436,0.16734572226044542,0.16292165219783783,0.2515717791605362,0.2600192129611969
2,32,1354.4395751953125,True,0.0378872322097839,0.028103729709982872,0.715895174207772,0.8983384966850281,0.9084696430631521,0.8680911064147949
2,33,1035.15380859375,True,0.8010762418776971,0.7551321387290955,0.21798359193680952,0.2228260189294815,0.40946059104183263,0.4015345275402069
2,34,1409.222412109375,True,0.5556165639344153,0.5346049666404724,0.6939858830534581,0.7760584950447083,0.6762434187065492,0.6626369953155518
2,35,1502.6597900390625,True,0.9282474433649313,0.9990000128746033,0.17622289735270982,0.12310391664505005,0.8982705388564342,0.9112734198570251
2,36,544.0449829101562,True,0.609161290314914,0.6409634351730347,0.775079713145593,0.8091793656349182,0.09456826771781074,0.07476560026407242
2,37,1316.5228271484375,True,0.3274713342348015,0.33075958490371704,0.502113802299681,0.4436509311199188,0.6641246328300883,0.6885186433792114
2,38,595.3845825195312,True,0.2978042560210964,0.36160680651664734,0.8819489054361216,0.90690016746521,0.05973217274033709,0.048179153352975845
2,39,1256.5186767578125,True,0.4724093145697462,0.7848060727119446,0.7534663941798964,0.5339428782463074,0.6164727969587264,0.616769015789032
2,40,1381.8590087890625,True,0.9459440055151461,0.9221742153167725,0.6973682612253725,0.6895790696144104,0.6776219474383484,0.6746946573257446
2,41,1228.5987548828125,True,0.8013591847732104,0.9804059267044067,0.5475303212865229,0.5372310280799866,0.7563618577613194,0.7419652342796326
2,42,1225.3372802734375,True,0.7804835723537621,0.8272484540939331,0.1378801890940116,0.11128119379281998,0.6172008012228397,0.6273645162582397
2,43,1377.572265625,True,0.932037513544365,0.9515318274497986,0.29876971941783464,0.3144593834877014,0.6906483721543913,0.6760820746421814
2,44,1308.4075927734375,True,0.70434247137995,0.7382181286811829,0.3493021958925605,0.27954769134521484,0.6729609763067204,0.6767378449440002
2,45,975.80615234375,True,0.2513398036272509,0.24900829792022705,0.599467081384583,0.6390266418457031,0.3257050268623053,0.3235079348087311
2,46,1454.7386474609375,True,0.3621563429040831,0.9990000128746033,0.6622171099682818,0.0010000000474974513,0.9954528382659691,0.9535864591598511
2,47,1302.9615478515625,True,0.14846405792277792,0.15978629887104034,0.28539214960407616,0.285037100315094,0.6874840944453352,0.687028169631958
2,48,1372.215576171875,True,0.5707775084416317,0.36065995693206787,0.8274732377108068,0.5873443484306335,0.8422487220519056,0.8185527920722961
2,49,863.7971801757812,True,0.9643024431375169,0.976186215877533,0.4520785655469771,0.4438740611076355,0.2967058894004197,0.278177946805954
