participant_id,alpha_pos,alpha_neg,phi,rho,capacity,kappa,v_scale,A,delta,t0,nll,aic,bic,aicc,pseudo_r2,grad_norm,hessian_condition,hessian_invertible,n_trials,converged,n_successful_starts,n_near_best,at_bounds
10066,0.002846751688849,0.001,0.0491063503558439,0.999,2.1160381267834207,0.1208761899857747,0.4531718056499346,0.1345929518016978,0.1102632581269314,0.05,283.27512151876954,586.5502430375391,631.756454313126,586.8795843549043,0.6202531258705919,3.236030897207665,,False,679,False,50,2,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10067,0.0072052195169798,0.001,0.6097070916166765,0.374035379658048,7.0,2.6662398857433047e-15,0.526027281943815,0.2679009531339341,0.0467370222128838,0.05,639.18163924108,1298.36327848216,1343.5842064638616,1298.6921275105606,0.1443997044457724,9.74585357998072e-05,,False,680,True,50,6,"['alpha_pos', 'alpha_neg', 'capacity', 'kappa', 't0']"
10071,0.0042058852180148,0.001,0.2150445762878866,0.999,2.0000000000000173,0.1069664818574392,0.4650619613625452,0.1269916177137574,0.0871679685144682,0.05,127.76601703383396,275.5320340676679,321.28279247366413,275.8436487985461,0.8377996645271013,6.5584889271768025,,False,717,False,50,1,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10072,0.0048585666011757,0.0010000000000079,0.2170032190191537,0.6454338164305498,3.2205374297746188,0.0656878333266821,0.4404669450167506,0.1796451365204645,0.068177107435537,0.05,316.28494995983203,652.5698999196641,698.1518779477867,652.8869028015084,0.5916383429146873,6.79385004293828e-05,,False,705,True,50,2,"['alpha_pos', 'alpha_neg', 't0']"
10074,0.0069467367367958,0.001,0.1503322585223144,0.4210267155224705,2.774989288920398,0.1391585588398079,0.5001269955675622,0.2164088265337799,0.0920752132177111,0.0500000000331542,420.8302829156392,861.6605658312784,907.3413449453982,861.9744032064567,0.4619996751934205,0.0001564760924652,,False,712,True,50,3,"['alpha_pos', 'alpha_neg', 't0']"
10075,0.004511907588475,0.0010000000000005,0.2192748796158109,0.9548873040766962,2.220737263360038,0.0312537171428281,0.3986042190625692,0.1887834565906744,0.0646116290957312,0.05,479.2666118354887,978.5332236709772,1024.1293760459098,978.8497704335672,0.3820860196810201,7.564037963525094e-05,,False,706,True,50,2,"['alpha_pos', 'alpha_neg', 't0']"
10076,0.007099908085739,0.001,0.3554506086335226,0.999,2.000000000000294,0.1271535927027633,0.5107737433388144,0.396177174168104,0.0487985937188962,0.05,752.7337479323231,1525.4674958646465,1570.7616842472685,1525.7939053601951,-0.0002449409837059,2.560971015062886,,False,685,False,50,1,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10077,0.0037436767446912,0.001,0.196113673637635,0.9989999999996558,1.4945391395572525,0.0471290018910297,0.4850258922468117,0.1689420529466613,0.0703969580111307,0.0500000000000132,298.2124279354788,616.4248558709576,662.0634111362789,616.7400421173759,0.6171443585691091,0.0001030429061167,,False,709,True,50,5,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10078,0.0031341494076676,0.0010000000000004,0.2083820835728368,0.999,1.4453334875843722,0.0766751055606506,0.608668962892988,0.1979826963002237,0.1028633628993,0.05,267.5273065278809,555.0546130557618,600.805371461758,555.36622778664,0.6603712014009775,0.0001928001139785,,False,717,True,50,2,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10079,0.0040243605203405,0.001,0.2335873875538094,0.9285397026812064,1.934060153918928,0.0728661914789676,0.5396735318743417,0.1591965940608924,0.1124444909071462,0.05,169.2100148053759,358.4200296107518,404.1847253012341,358.7312035852921,0.7854852464986615,0.0001564965941035,,False,718,True,50,5,"['alpha_pos', 'alpha_neg', 't0']"
10081,0.001,0.001,0.2441796828225424,0.999,2.404737973535904,6.68837223228333e-21,0.347670514254684,0.001,0.1170272377138524,0.2004184201534943,185.6691510269663,391.3383020539326,437.06112748087264,391.6508020539326,0.7636316860989549,0.0002234587467267,,False,715,True,50,1,"['alpha_pos', 'alpha_neg', 'rho', 'kappa', 'A']"
10083,0.0053455902335123,0.0010000082511965,0.3628152165645389,0.9989981266490516,1.078783882238897,0.0212510955928239,0.5087331378494612,0.1705637414959164,0.1333943872282547,0.0500000075128422,482.5782416760324,985.1564833520648,1030.7100522701714,985.4744024272092,0.3751612439685197,3.4664943772508514e-05,,False,703,True,50,2,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10084,0.0015952095052361,0.0150386969594689,0.0011559792060197,0.999,2.9999999999999414,0.1458745226651216,0.4917596473349624,0.1311575853401416,0.0819034916751934,0.0643559732253419,-122.42213368607004,-224.8442673721401,-179.0935089661439,-224.53265264126196,1.1554162179754752,0.8624225009416492,,False,717,False,50,4,"['alpha_pos', 'phi', 'rho']"
10086,0.8901918214950686,0.001,0.1458139524816767,0.001,1.0000014303462947,0.6550765034871535,0.2103532812510024,0.0432273213562322,0.0253820709159781,0.05,88.02521157545304,196.05042315090608,235.26620734734425,196.6581579575359,0.7851903471632597,1.838216616130311e-05,,False,373,True,50,3,"['alpha_neg', 'rho', 'capacity', 't0']"
10087,0.0040172037882508,0.001,0.2090798989692395,0.9989999999664784,1.8680182848102376,0.1207338444505884,0.4932458615247961,0.1250250630706073,0.1120880597912294,0.050000000000011,165.6249855855583,351.24997117111667,396.9447853752597,351.56336148450697,0.788557701557532,0.0001144559376237,,False,713,True,50,6,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10088,0.0029631467245179,0.001,0.1490026401321754,0.9989999999999184,1.9999999999978229,0.1007370347699593,0.5622565019942155,0.1740264546391312,0.0701847943752333,0.05,69.26796176900828,158.53592353801656,203.6978542984462,158.86675060568572,0.9067301539191724,24.191085545887244,,False,676,False,50,2,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10089,0.0025449680585141,0.001,0.2721031126504963,0.6305836402750427,2.204283617951532,0.0355402964257573,0.682076754430453,0.1863575902508238,0.1886333473363041,0.0500000000000036,248.56072384608797,517.1214476921759,562.8582493617823,517.4335044297646,0.6840087694923604,0.0003725108783723,,False,716,True,50,1,"['alpha_pos', 'alpha_neg', 't0']"
10090,0.0134462798427901,0.001,0.4935915471448661,0.3258575195406643,6.974770762624311,0.0715519338008226,0.4715765456182897,0.2187141851751478,0.0010000000000006,0.1444178736454812,203.3252698577246,426.6505397154492,462.4100307469124,427.5201049328405,0.2989597106477717,0.0018867436084665,,False,264,True,50,2,"['alpha_neg', 'delta']"
10092,0.0068449952169359,0.001,0.2059356647187321,0.998999999999902,2.0000000000010454,0.0687808752734388,0.4508641114369003,0.2114157849111368,0.0611996155513257,0.05,354.8681120726327,729.7362241452654,775.117622382942,730.0597535570301,0.532539977007932,1.4369826070936087,,False,691,False,50,3,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10093,0.0079820297119041,0.0010000000000103,0.4203852868478839,0.9532928270933336,1.6378299559797496,0.1004789186003702,0.5118374773863332,0.2932519520033108,0.0891728158312948,0.05,652.373093466188,1324.746186932376,1370.2569902828102,1325.0654902705471,0.1516920284731135,0.0001194942309057,,False,700,True,50,2,"['alpha_pos', 'alpha_neg', 't0']"
