participant_id,alpha_pos,alpha_neg,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10028,0.013209942728281021,0.0010000000474974513,0.31470638513565063,709.6062622070312,1425.2125244140625,1438.8614766407638,1425.2470567881633,0.07594927708027355,7.886105777288321e-06,699,True,50,10,['alpha_neg'],v4.0-phiapprox
10029,0.07105313986539841,0.022977402433753014,0.06336990743875504,286.3038024902344,578.6076049804688,592.3453586164991,578.6411245335414,0.6380486781124531,8.760991477174684e-06,720,True,50,11,[],v4.0-phiapprox
10030,0.06521908938884735,0.010602030903100967,0.03316621482372284,255.02084350585938,516.0416870117188,529.7627275126007,516.0753948768873,0.6757961237898085,6.202728400239721e-06,716,True,50,12,['alpha_neg'],v4.0-phiapprox
10031,0.08950378000736237,0.0174122154712677,0.13782626390457153,380.5106201171875,767.021240234375,780.7548243075381,767.0548066679414,0.5182813733257761,6.2801568674331065e-06,719,True,50,13,[],v4.0-phiapprox
10035,0.04811709746718407,0.0010000000474974513,0.0786881297826767,355.99566650390625,717.9913330078125,731.7165605296113,718.0249935968728,0.5480596650473903,1.8495698896003887e-05,717,True,50,7,['alpha_neg'],v4.0-phiapprox
10036,0.017095064744353294,0.0010000000474974513,0.0010000000474974513,529.3126220703125,1064.625244140625,1078.333688401868,1064.659094634278,0.32426211534767935,0.006246630102396011,713,False,50,24,"['alpha_neg', 'epsilon']",v4.0-phiapprox
10039,0.04194957762956619,0.0010000000474974513,0.10536559671163559,393.60980224609375,793.2196044921875,806.9196217815972,793.2535507439555,0.4960913052190904,5.747146133217029e-05,711,True,49,8,['alpha_neg'],v4.0-phiapprox
10041,0.01788024604320526,0.0010000000474974513,0.24053195118904114,657.160888671875,1320.32177734375,1333.9578263247533,1320.3564594246748,0.14055514500848765,8.481489203404635e-05,696,True,50,25,['alpha_neg'],v4.0-phiapprox
10043,0.022368261590600014,0.0010000000474974513,0.145480215549469,541.34765625,1088.6953125,1102.4163530008818,1088.7290203651685,0.31179347491445386,9.014906027005054e-06,716,True,50,17,['alpha_neg'],v4.0-phiapprox
10044,0.022368261590600014,0.0010000000474974513,0.145480215549469,541.34765625,1088.6953125,1102.4163530008818,1088.7290203651685,0.31179347491445386,9.014906027005054e-06,716,True,50,17,['alpha_neg'],v4.0-phiapprox
10047,0.026418251916766167,0.0010000000474974513,0.0720396339893341,473.52886962890625,953.0577392578125,966.7829667796113,953.0913998468728,0.39884999710391056,9.052842870005406e-06,717,True,50,7,['alpha_neg'],v4.0-phiapprox
10048,0.02489539422094822,0.0010000000474974513,0.05782580003142357,539.8719482421875,1085.743896484375,1099.4056966964524,1085.7782804385297,0.2999820161745118,3.960409685532795e-06,702,True,50,5,['alpha_neg'],v4.0-phiapprox
10050,0.02128370851278305,0.0010000000474974513,0.0010001221671700478,445.66357421875,897.3271484375,911.0523759592988,897.3608090265603,0.43422528991265397,1.74429089838668e-06,717,True,50,21,"['alpha_neg', 'epsilon']",v4.0-phiapprox
10051,0.10780061036348343,0.014468960464000702,0.14832068979740143,369.9471130371094,745.8942260742188,759.5857926538151,745.9282686274103,0.5250488377098314,8.514150067640003e-06,709,True,50,7,[],v4.0-phiapprox
10052,0.03466695547103882,0.0010000000474974513,0.15096202492713928,495.344970703125,996.68994140625,1010.3815079858464,996.7239839594415,0.36405864168363067,1.8040773284155875e-06,709,True,50,14,['alpha_neg'],v4.0-phiapprox
10055,0.9990000128746033,0.034297794103622437,0.1542784571647644,361.3428039550781,728.6856079101562,742.4191919833194,728.7191743437227,0.5425474347437508,2.7226180463912897e-05,719,True,50,12,['alpha_pos'],v4.0-phiapprox
