participant_id,alpha_pos,alpha_neg,phi,rho,capacity,kappa_total,kappa_share,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10018,0.015494360588490963,0.0010000000474974513,0.21150945127010345,0.18944822251796722,2.0,0.4688957929611206,0.650111973285675,0.034334950149059296,551.9885864257812,1119.9771728515625,1159.1264236883835,1120.1245628208562,0.49042427584681103,0.0018889346392825246,986,False,48,24,"['alpha_neg', 'capacity']","v4.0-K[2,6]-phiapprox-stickbreaking"
10024,0.019647318869829178,0.0010000000474974513,0.16120252013206482,0.4009802043437958,2.0,1.0,0.9553964138031006,0.02238532528281212,256.3363952636719,528.6727905273438,565.2845470797296,528.8758934892619,0.6750314175750474,8.76810918271076e-06,718,True,50,27,"['alpha_neg', 'capacity', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10025,0.2275870442390442,0.0010000000474974513,0.6924962997436523,0.9082779884338379,5.000000476837158,1.0,0.24948589503765106,0.060352932661771774,235.12310791015625,486.2462158203125,518.453143610915,486.60177137586805,0.48304764273855305,0.7641657590866089,414,False,49,13,"['alpha_neg', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10027,0.024737026542425156,0.0010000000474974513,0.1331956833600998,0.2152864634990692,2.0,0.7518572807312012,0.45484405755996704,0.030020426958799362,282.3477783203125,580.695556640625,617.3073131930108,580.8986596025431,0.642055677746397,9.73190526565304e-06,718,True,50,22,"['alpha_neg', 'capacity']","v4.0-K[2,6]-phiapprox-stickbreaking"
10028,0.0469963438808918,0.0010000000474974513,0.88496994972229,0.8411540985107422,6.0,0.23309266567230225,0.06844495236873627,0.0882568508386612,686.5758666992188,1389.1517333984375,1425.548939336308,1389.3604290506114,0.10593950511452455,9.425771168025676e-06,699,True,49,5,"['alpha_neg', 'capacity']","v4.0-K[2,6]-phiapprox-stickbreaking"
10029,0.03829134255647659,0.0010000000474974513,0.20763134956359863,0.4570941925048828,2.0,-0.4208860397338867,1.0,0.05039456486701965,271.9278869628906,559.8557739257812,596.4897836218621,560.0583055713508,0.6562230145453172,8.159352546499576e-06,720,True,49,7,"['alpha_neg', 'capacity', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10030,0.015537831000983715,0.0010000000474974513,0.0010000000474974513,0.17453618347644806,2.0,1.0,1.0,0.028663452714681625,221.82095336914062,459.64190673828125,496.2313480739664,459.84558424888945,0.7180026074799521,6.652330739598256e-06,716,True,49,10,"['alpha_neg', 'phi', 'capacity', 'kappa_total', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10031,0.015618431381881237,0.0010000000474974513,0.12052899599075317,0.20795224606990814,2.2581188678741455,0.5366553068161011,0.1159842386841774,0.07646079361438751,364.0779724121094,744.1559448242188,780.7788356859871,744.3587617256272,0.5390847676769605,8.465767677989788e-06,719,True,49,19,['alpha_neg'],"v4.0-K[2,6]-phiapprox-stickbreaking"
10035,0.008177416399121284,0.0010000000474974513,0.14849191904067993,0.26201292872428894,2.0,0.6184533834457397,0.11731617897748947,0.0010000000474974513,313.8281555175781,643.6563110351562,680.2569177599532,643.8597008656648,0.6015917746554433,7.086420737323351e-06,717,True,48,9,"['alpha_pos', 'alpha_neg', 'capacity', 'epsilon']","v4.0-K[2,6]-phiapprox-stickbreaking"
10036,0.010922825895249844,0.0010000000474974513,0.3496699631214142,0.3604542016983032,2.0,0.5178670883178711,6.850245468526667e-14,0.04382548853754997,485.8367919921875,987.673583984375,1024.2294353476893,987.8781294389205,0.37976478848550865,7.2878669925557915e-06,713,True,48,10,"['alpha_pos', 'alpha_neg', 'capacity', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10039,0.008259452879428864,0.0010000000474974513,0.11426090449094772,0.15327675640583038,2.4012908935546875,0.7561044692993164,0.28894519805908203,0.018896305933594704,353.0901794433594,722.1803588867188,758.7137383251447,722.3854870918469,0.5479654966722157,5.3138296607357915e-06,711,True,50,5,"['alpha_pos', 'alpha_neg']","v4.0-K[2,6]-phiapprox-stickbreaking"
10041,0.009983312338590622,0.0010000000474974513,0.5092406868934631,0.30419018864631653,2.0,0.8481936454772949,0.6538152694702148,0.1527654528617859,625.06640625,1266.1328125,1302.4956097826753,1266.3424194868996,0.18252878992037858,8.661299034429248e-06,696,True,50,3,"['alpha_pos', 'alpha_neg', 'capacity']","v4.0-K[2,6]-phiapprox-stickbreaking"
10043,0.05212714523077011,0.0010000000474974513,0.573255717754364,0.871448278427124,5.000000476837158,0.9004217386245728,0.20530515909194946,0.08703069388866425,481.66412353515625,979.3282470703125,1015.9176884059976,979.5319245809208,0.3876681853344496,0.27272525429725647,716,False,48,10,['alpha_neg'],"v4.0-K[2,6]-phiapprox-stickbreaking"
