participant_id,alpha_pos,alpha_neg,phi,rho,capacity,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds
10065,0.006145119667053223,0.0010000000474974513,0.11169218271970749,0.9990000128746033,4.84864616394043,0.08144720643758774,658.1670532226562,1328.3341064453125,1359.4917117726072,1328.3975985088045,0.5495567898371014,8.647976756037679e-06,1330,True,47,8,"['alpha_pos', 'alpha_neg', 'rho']"
10066,0.973773181438446,0.9908366799354553,0.6171748042106628,0.23783659934997559,6.980377674102783,0.1347394734621048,912.6897583007812,1837.3795166015625,1868.0632532589586,1837.44825637243,0.32403090338003404,0.008295820094645023,1229,False,50,16,['alpha_neg']
10067,0.008803918957710266,0.00568331079557538,0.3906734585762024,0.6968042850494385,2.218566656112671,0.02463788166642189,1207.9366455078125,2427.873291015625,2459.1160041528715,2427.935884160185,0.18494342622590998,5.622380285785766e-06,1349,True,50,4,"['alpha_pos', 'alpha_neg']"
10071,0.02916489914059639,0.018823698163032532,0.20435206592082977,0.9641852974891663,3.4700422286987305,0.11569370329380035,802.0429077148438,1616.0858154296875,1646.9900241752428,1616.1520614864698,0.42741104624321624,9.443238013773225e-06,1275,True,50,22,[]
10072,0.010451499372720718,0.004429046995937824,0.16346722841262817,0.6352055072784424,5.152050018310547,0.0010000000474974513,1009.8036499023438,2031.6072998046875,2063.0166903265763,2031.668169369905,0.3373014467685169,4.892418655799702e-05,1387,True,50,2,"['alpha_pos', 'alpha_neg', 'epsilon']"
10074,0.7002502083778381,0.14884783327579498,0.16663944721221924,0.522054135799408,5.462469100952148,0.334906667470932,1128.5875244140625,2269.175048828125,2300.4266508558862,2269.237548828125,0.23961166883541596,7.160317181842402e-06,1351,True,50,39,[]
10075,0.03337794914841652,0.005198725499212742,0.1263633519411087,0.7458360195159912,3.703622817993164,0.17053647339344025,995.766357421875,2003.53271484375,2034.6948297541207,2003.5961589525114,0.31901908408661883,9.076625246962067e-06,1331,True,50,21,['alpha_neg']
10076,0.01639968901872635,0.0020469112787395716,0.3372317850589752,0.6890168190002441,2.4085822105407715,0.04834114760160446,1031.4600830078125,2074.920166015625,2105.5941306838904,2074.9890184746414,0.23482035187165062,6.839642537670443e-06,1227,True,50,2,['alpha_neg']
10077,0.008797231130301952,0.00610059080645442,0.13130056858062744,0.7565208673477173,3.57039475440979,0.007202169392257929,948.2330322265625,1908.466064453125,1939.3655654699176,1908.5323627956664,0.3225126358587699,8.956682904681657e-06,1274,True,50,15,"['alpha_pos', 'alpha_neg', 'epsilon']"
10078,0.011426867917180061,0.010348953306674957,0.15264558792114258,0.9014737010002136,2.913470983505249,0.0967899039387703,865.9296264648438,1743.8592529296875,1774.4544633910061,1743.929020371548,0.349130376955718,5.141017027199268e-06,1211,True,50,11,['alpha_neg']
