dataset,subject,nll,converged,true_alpha_pos,recovered_alpha_pos,true_alpha_neg,recovered_alpha_neg,true_phi,recovered_phi,true_rho,recovered_rho,true_capacity,recovered_capacity,true_epsilon,recovered_epsilon
0,18,1217.485107421875,True,0.0971981802291923,0.08881791681051254,0.901797191750754,0.9277675747871399,0.45586473725394383,0.7164078950881958,0.20295863806563985,0.4187972843647003,2.835739744903915,1.9296653270721436,0.5790611298040121,0.5399174094200134
0,19,1345.591064453125,True,0.17741923737335324,0.2466406226158142,0.8559010555241907,0.7906196117401123,0.7580024907755397,0.6126282215118408,0.7190240300390349,0.6895670294761658,3.5925582386506223,1.9984755516052246,0.6270542230210383,0.6522436738014221
0,20,1173.294921875,True,0.5839297729749101,0.5335773825645447,0.6495469083517104,0.5957925915718079,0.08527543249760931,0.2310626208782196,0.4159757873662684,0.24195976555347443,1.2496850431713549,6.902933597564697,0.49400283760602987,0.483562171459198
0,21,1395.0306396484375,True,0.33020148990811976,0.3953482508659363,0.14523514048831482,0.6893313527107239,0.10419616178710654,0.491280198097229,0.5874692830333567,0.7765007019042969,2.0235578112213166,5.18007755279541,0.9242698781400436,0.8797203898429871
0,22,1087.384765625,True,0.5808990174209941,0.5238983631134033,0.3471760649257674,0.29149726033210754,0.5907336604984539,0.0010000000474974513,0.023758263287638103,0.39698469638824463,6.751355279448672,1.4470409154891968,0.48233883006901446,0.4401012063026428
0,23,1299.3359375,True,0.7821697567957856,0.7704070806503296,0.08356453992259369,0.09970127046108246,0.486685014176484,0.47014299035072327,0.4907255803658119,0.5904518961906433,6.626958729849897,7.0,0.5715845962713232,0.5399375557899475
0,24,620.4175415039062,True,0.4735424222548399,0.41798701882362366,0.2674417117657098,0.2634066641330719,0.3319058593478671,0.3477354645729065,0.5206310576665947,0.5126038789749146,3.6334687618302803,3.895474672317505,0.022568855720569766,0.013994182460010052
0,25,1339.248291015625,True,0.8256393403459691,0.8018437623977661,0.8953684502960871,0.4792468845844269,0.14096859082061355,0.21271741390228271,0.5539280712519713,0.4105643033981323,1.6514544468126613,3.6079728603363037,0.6718956128537321,0.6273829936981201
0,26,1512.1595458984375,True,0.2816713162713303,0.9990000128746033,0.659103789422518,0.59919673204422,0.7265406250583089,0.8861779570579529,0.7681101969338217,0.9385846853256226,1.6464456757353794,1.7848341464996338,0.9151798214473327,0.7714636921882629
0,27,1514.2547607421875,True,0.23075356291309104,0.3648608326911926,0.03833773106382742,0.03997165337204933,0.5547427644527004,0.9605681300163269,0.3711804392947139,0.697163999080658,5.978738458794479,3.601304054260254,0.8076349691201732,0.7142468094825745
0,28,1505.6390380859375,True,0.3175046150370699,0.38377097249031067,0.9519935962796054,0.07812701910734177,0.2913360024638384,0.9877281785011292,0.5150270149732511,0.9942532777786255,2.5357905434056165,2.9999938011169434,0.9351714829088654,0.7855637073516846
0,29,1358.843505859375,True,0.16527860194685412,0.0010000000474974513,0.04582079815354433,0.5947896838188171,0.4352268658830319,0.2601606547832489,0.9913908129277254,0.9990000128746033,6.350063597529484,4.460532188415527,0.7481108034180353,0.7550689578056335
0,30,1289.096435546875,True,0.8900109058967678,0.4722694158554077,0.8926597464184675,0.8755996823310852,0.5188206436656762,0.44508764147758484,0.31629719372713144,0.30853620171546936,5.632074592665928,6.833725929260254,0.6613379406414256,0.6626107096672058
0,31,985.6856079101562,True,0.37391041341596265,0.34948158264160156,0.09527773472539224,0.09613137692213058,0.7462960321263279,0.771685779094696,0.262935594891019,0.2935931384563446,6.620878903202676,6.054792881011963,0.24148863385567337,0.20896758139133453
0,32,1326.31103515625,True,0.12351241654666305,0.04957370460033417,0.8304504467806563,0.13420626521110535,0.15397774799124506,0.9990000128746033,0.1799097715414236,0.8966665267944336,4.596296749125061,4.145622253417969,0.8738129167557895,0.3777638077735901
