dataset,subject,nll,converged,true_alpha_pos,recovered_alpha_pos,true_alpha_neg,recovered_alpha_neg,true_phi,recovered_phi,true_rho,recovered_rho,true_capacity,recovered_capacity,true_kappa_total,recovered_kappa_total,true_kappa_share,recovered_kappa_share,true_epsilon,recovered_epsilon
0,10,967.1337280273438,True,0.6639849132467328,0.5351552963256836,0.4065740877171904,0.3664216101169586,0.8133923438967026,0.0010000000474974513,0.1676389740678885,0.4269312024116516,1.1362724388031629,4.109890937805176,0.09004786077564175,0.09468958526849747,0.7223593505964503,0.7689595818519592,0.4619534757908846,0.4437079429626465
0,11,1237.48486328125,True,0.16194923547553458,0.21523484587669373,0.5010426855531568,0.6915528774261475,0.15300747850774207,0.08126439899206161,0.6959277343275806,0.9990000128746033,3.676937653444184,1.9963037967681885,0.3810212260964825,0.36890485882759094,0.3015120891478765,0.25619325041770935,0.6300220279326507,0.6125583052635193
0,12,1084.986083984375,True,0.3620889853322836,0.054517269134521484,0.0884746194774688,0.3606807291507721,0.11876989031627429,0.9846710562705994,0.9609738692204155,0.9990000128746033,6.451484144245642,3.1926660537719727,0.6997071338107496,0.694858193397522,0.2658699614595196,0.2758021354675293,0.9682380245930284,0.5256367325782776
0,13,499.7974853515625,True,0.778193402157863,0.5779725909233093,0.7164564087806776,0.5376017093658447,0.4494627791395011,0.025068599730730057,0.2726970787214687,0.0010000000474974513,1.5783457729209958,5.9889092445373535,0.9026023965438417,0.9171438813209534,0.45577628983361107,0.4095911979675293,0.20295863806563985,0.19392170011997223
0,14,992.7247924804688,True,0.3063447109023512,0.014844571240246296,0.5790611298040121,0.37042364478111267,0.17741923737335324,0.01004175003618002,0.8559010555241907,0.9990000128746033,5.551117179011261,3.304586887359619,0.7194629559509368,0.7033518552780151,0.4320930397751037,0.47176557779312134,0.6270542230210383,0.6527224779129028
0,15,694.515869140625,True,0.5839297729749101,0.46877917647361755,0.6495469083517104,0.5066269040107727,0.08527543249760931,0.06964924931526184,0.4159757873662684,0.23050972819328308,1.2496850431713549,6.33093786239624,0.49399081924451893,0.5197627544403076,0.3298612123327853,0.3649883568286896,0.14523514048831482,0.12103376537561417
0,16,864.1859130859375,True,0.10419616178710654,0.1334073692560196,0.5874692830333567,0.6024347543716431,0.17125178259981233,0.16024208068847656,0.9242698781400436,0.9203633069992065,4.48636683820237,4.192002296447754,0.34686980453483707,0.3725554347038269,0.5909154914814168,0.5513957738876343,0.023758263287638103,0.05550523102283478
0,17,1090.014404296875,True,0.9576420948149624,0.9720130562782288,0.48233883006901446,0.45671603083610535,0.7821697567957856,0.7976230978965759,0.08356453992259369,0.2060377150774002,3.9199499850289623,5.858407974243164,0.4907069943545209,0.43355605006217957,0.9378264549749828,0.9668766260147095,0.5715845962713232,0.44060271978378296
0,18,1331.720703125,True,0.4735424222548399,0.18131516873836517,0.2674417117657098,0.3525678217411041,0.3319058593478671,0.9757674336433411,0.5206310576665947,0.8634969592094421,3.6334687618302803,5.000172138214111,0.021612079880330426,0.09615591168403625,0.8262919241943578,0.45035791397094727,0.8953684502960871,0.7870279550552368
0,19,995.6572265625,True,0.14096859082061355,0.08961442112922668,0.5539280712519713,0.28042611479759216,0.10935858965317266,0.9621221423149109,0.6718956128537321,0.40688613057136536,2.68740270303405,6.445592403411865,0.6594226346919018,0.668834388256073,0.7269946142868826,0.64942467212677,0.7681101969338217,0.6493783593177795
