Section,Parameter,Predictor,N,β,SE,t,p,R²,95% CI,r,p_fdr,sig_fdr,shapiro_w,shapiro_p,residuals_normal,bp_stat,bp_p,homoscedastic
alpha+ (Positive Learning Rate) ~ LEC-5 Personal Events,alpha_pos_mean,lec_personal_events,154,-0.009,0.006,-1.59,0.113,0.016,"[-0.021, 0.002]",-0.128,0.323,False,0.312,0.0000,False,3.326,0.0682,True
alpha+ (Positive Learning Rate) ~ LEC-5 Total Events,alpha_pos_mean,lec_total_events,154,0.002,0.004,0.42,0.672,0.001,"[-0.006, 0.010]",0.034,0.828,False,0.241,0.0000,False,0.014,0.9071,True
alpha- (Negative Learning Rate) ~ IES-R Avoidance,alpha_neg_mean,ies_avoidance,154,0.000,0.001,0.19,0.850,0.000,"[-0.002, 0.002]",0.015,0.895,False,0.132,0.0000,False,0.037,0.8484,True
alpha- (Negative Learning Rate) ~ IES-R Hyperarousal,alpha_neg_mean,ies_hyperarousal,154,0.002,0.001,1.33,0.184,0.012,"[-0.001, 0.004]",0.108,0.409,False,0.192,0.0000,False,1.831,0.1760,True
alpha- (Negative Learning Rate) ~ IES-R Intrusion,alpha_neg_mean,ies_intrusion,154,0.002,0.001,1.36,0.176,0.012,"[-0.001, 0.004]",0.110,0.409,False,0.194,0.0000,False,1.285,0.2571,True
alpha- (Negative Learning Rate) ~ IES-R Total Score,alpha_neg_mean,ies_total,154,0.000,0.000,1.00,0.318,0.007,"[-0.000, 0.001]",0.081,0.546,False,0.174,0.0000,False,0.863,0.3529,True
alpha- (Negative Learning Rate) ~ LEC-5 Personal Events,alpha_neg_mean,lec_personal_events,154,-0.004,0.003,-1.08,0.283,0.008,"[-0.010, 0.003]",-0.087,0.514,False,0.178,0.0000,False,1.408,0.2353,True
alpha- (Negative Learning Rate) ~ LEC-5 Total Events,alpha_neg_mean,lec_total_events,154,-0.005,0.002,-2.11,0.037*,0.028,"[-0.009, -0.000]",-0.169,0.181,False,0.243,0.0000,False,4.512,0.0337,False
delta_mean ~ IES-R Avoidance,delta_mean,ies_avoidance,154,-0.001,0.000,-2.29,0.023*,0.033,"[-0.002, -0.000]",-0.183,0.177,False,0.983,0.0482,False,2.494,0.1142,True
delta_mean ~ IES-R Hyperarousal,delta_mean,ies_hyperarousal,154,-0.001,0.000,-2.89,0.004**,0.052,"[-0.002, -0.000]",-0.229,0.112,False,0.988,0.1931,True,2.994,0.0836,True
delta_mean ~ IES-R Intrusion,delta_mean,ies_intrusion,154,-0.001,0.000,-2.34,0.021*,0.035,"[-0.002, -0.000]",-0.186,0.177,False,0.981,0.0358,False,1.230,0.2674,True
delta_mean ~ IES-R Total Score,delta_mean,ies_total,154,-0.000,0.000,-2.72,0.007**,0.046,"[-0.001, -0.000]",-0.215,0.112,False,0.985,0.0914,True,2.415,0.1202,True
delta_mean ~ LEC-5 Personal Events,delta_mean,lec_personal_events,154,0.001,0.001,0.72,0.472,0.003,"[-0.002, 0.004]",0.058,0.691,False,0.973,0.0043,False,0.123,0.7256,True
delta_mean ~ LEC-5 Total Events,delta_mean,lec_total_events,154,-0.000,0.001,-0.22,0.827,0.000,"[-0.002, 0.002]",-0.018,0.886,False,0.972,0.0031,False,2.016,0.1556,True
kappa (Perseveration) ~ IES-R Avoidance,kappa_mean,ies_avoidance,154,0.000,0.001,0.07,0.945,0.000,"[-0.002, 0.002]",0.006,0.945,False,0.694,0.0000,False,0.863,0.3529,True
kappa (Perseveration) ~ IES-R Hyperarousal,kappa_mean,ies_hyperarousal,154,0.001,0.001,0.76,0.450,0.004,"[-0.001, 0.003]",0.061,0.685,False,0.709,0.0000,False,2.792,0.0947,True
kappa (Perseveration) ~ IES-R Intrusion,kappa_mean,ies_intrusion,154,0.000,0.001,0.38,0.706,0.001,"[-0.002, 0.002]",0.031,0.830,False,0.700,0.0000,False,1.543,0.2142,True
kappa (Perseveration) ~ IES-R Total Score,kappa_mean,ies_total,154,0.000,0.000,0.42,0.677,0.001,"[-0.001, 0.001]",0.034,0.828,False,0.701,0.0000,False,1.878,0.1705,True
kappa (Perseveration) ~ LEC-5 Personal Events,kappa_mean,lec_personal_events,154,-0.004,0.003,-1.37,0.172,0.012,"[-0.010, 0.002]",-0.111,0.409,False,0.720,0.0000,False,1.808,0.1787,True
kappa (Perseveration) ~ LEC-5 Total Events,kappa_mean,lec_total_events,154,0.004,0.002,2.08,0.039*,0.028,"[0.000, 0.008]",0.166,0.181,False,0.707,0.0000,False,0.585,0.4443,True
phi (WM Decay Rate) ~ IES-R Avoidance,phi_mean,ies_avoidance,154,0.001,0.002,0.67,0.504,0.003,"[-0.003, 0.006]",0.054,0.719,False,0.872,0.0000,False,0.012,0.9144,True
phi (WM Decay Rate) ~ IES-R Hyperarousal,phi_mean,ies_hyperarousal,154,0.005,0.003,2.16,0.033*,0.030,"[0.000, 0.010]",0.172,0.181,False,0.894,0.0000,False,2.601,0.1068,True
phi (WM Decay Rate) ~ IES-R Intrusion,phi_mean,ies_intrusion,154,0.005,0.003,1.93,0.056,0.024,"[-0.000, 0.010]",0.154,0.195,False,0.888,0.0000,False,1.131,0.2876,True
phi (WM Decay Rate) ~ IES-R Total Score,phi_mean,ies_total,154,0.001,0.001,1.67,0.098,0.018,"[-0.000, 0.003]",0.134,0.308,False,0.884,0.0000,False,0.694,0.4049,True
phi (WM Decay Rate) ~ LEC-5 Personal Events,phi_mean,lec_personal_events,154,0.010,0.007,1.37,0.172,0.012,"[-0.004, 0.024]",0.111,0.409,False,0.874,0.0000,False,0.092,0.7612,True
phi (WM Decay Rate) ~ LEC-5 Total Events,phi_mean,lec_total_events,154,-0.001,0.005,-0.17,0.867,0.000,"[-0.011, 0.009]",-0.014,0.897,False,0.870,0.0000,False,0.121,0.7283,True
rho (WM Weight) ~ IES-R Avoidance,rho_mean,ies_avoidance,154,-0.005,0.003,-1.98,0.049*,0.025,"[-0.011, -0.000]",-0.159,0.195,False,0.889,0.0000,False,8.827,0.0030,False
rho (WM Weight) ~ IES-R Hyperarousal,rho_mean,ies_hyperarousal,154,-0.007,0.003,-2.13,0.035*,0.029,"[-0.013, -0.000]",-0.170,0.181,False,0.897,0.0000,False,11.688,0.0006,False
rho (WM Weight) ~ IES-R Intrusion,rho_mean,ies_intrusion,154,-0.006,0.003,-1.97,0.050,0.025,"[-0.012, 0.000]",-0.158,0.195,False,0.888,0.0000,False,4.809,0.0283,False
rho (WM Weight) ~ IES-R Total Score,rho_mean,ies_total,154,-0.002,0.001,-2.20,0.029*,0.031,"[-0.004, -0.000]",-0.176,0.181,False,0.898,0.0000,False,9.472,0.0021,False
rho (WM Weight) ~ LEC-5 Personal Events,rho_mean,lec_personal_events,154,0.005,0.009,0.62,0.539,0.002,"[-0.012, 0.023]",0.050,0.751,False,0.848,0.0000,False,0.007,0.9355,True
rho (WM Weight) ~ LEC-5 Total Events,rho_mean,lec_total_events,154,0.004,0.006,0.60,0.551,0.002,"[-0.008, 0.016]",0.048,0.751,False,0.849,0.0000,False,1.121,0.2898,True
t0_mean ~ IES-R Avoidance,t0_mean,ies_avoidance,154,0.000,0.000,0.91,0.364,0.005,"[-0.000, 0.001]",0.074,0.607,False,0.623,0.0000,False,0.220,0.6392,True
t0_mean ~ IES-R Hyperarousal,t0_mean,ies_hyperarousal,154,0.001,0.000,1.53,0.129,0.015,"[-0.000, 0.002]",0.123,0.351,False,0.660,0.0000,False,1.133,0.2872,True
t0_mean ~ IES-R Intrusion,t0_mean,ies_intrusion,154,0.000,0.000,0.75,0.457,0.004,"[-0.001, 0.001]",0.060,0.685,False,0.611,0.0000,False,0.239,0.6248,True
t0_mean ~ IES-R Total Score,t0_mean,ies_total,154,0.000,0.000,1.14,0.255,0.009,"[-0.000, 0.000]",0.092,0.494,False,0.637,0.0000,False,0.492,0.4829,True
t0_mean ~ LEC-5 Personal Events,t0_mean,lec_personal_events,154,0.001,0.001,0.52,0.602,0.002,"[-0.002, 0.003]",0.042,0.784,False,0.592,0.0000,False,0.482,0.4876,True
t0_mean ~ LEC-5 Total Events,t0_mean,lec_total_events,154,0.001,0.001,1.21,0.230,0.009,"[-0.001, 0.003]",0.097,0.476,False,0.635,0.0000,False,1.199,0.2735,True
v_scale_mean ~ IES-R Avoidance,v_scale_mean,ies_avoidance,154,-0.001,0.001,-1.17,0.244,0.009,"[-0.003, 0.001]",-0.094,0.488,False,0.902,0.0000,False,0.138,0.7106,True
v_scale_mean ~ IES-R Hyperarousal,v_scale_mean,ies_hyperarousal,154,-0.002,0.001,-1.91,0.058,0.023,"[-0.004, 0.000]",-0.153,0.195,False,0.910,0.0000,False,0.157,0.6923,True
v_scale_mean ~ IES-R Intrusion,v_scale_mean,ies_intrusion,154,-0.002,0.001,-2.29,0.024*,0.033,"[-0.004, -0.000]",-0.182,0.177,False,0.905,0.0000,False,0.022,0.8824,True
v_scale_mean ~ IES-R Total Score,v_scale_mean,ies_total,154,-0.001,0.000,-1.91,0.058,0.023,"[-0.001, 0.000]",-0.153,0.195,False,0.907,0.0000,False,0.003,0.9576,True
v_scale_mean ~ LEC-5 Personal Events,v_scale_mean,lec_personal_events,154,0.002,0.003,0.77,0.442,0.004,"[-0.003, 0.008]",0.062,0.685,False,0.899,0.0000,False,3.174,0.0748,True
v_scale_mean ~ LEC-5 Total Events,v_scale_mean,lec_total_events,154,-0.001,0.002,-0.51,0.614,0.002,"[-0.005, 0.003]",-0.041,0.784,False,0.900,0.0000,False,1.859,0.1727,True
