parameter,scale,n,beta,se,t_stat,p_uncorrected,p_fdr_bh,p_bonferroni,sig_uncorrected,sig_fdr,sig_bonferroni,r_squared
alpha_mean,lec_total_events,162,0.0007309532981911091,0.002518845685746987,0.2901937591203957,0.7720437712700896,0.9967218516829064,1.0,False,False,False,0.0005260507364249767
alpha_mean,ies_total,162,-0.00011719187300838411,0.00043127425783942607,-0.2717339856904177,0.7861768737124034,0.9967218516829064,1.0,False,False,False,0.0004612831133113948
kappa_mean,lec_personal_events,162,-0.004468136357739852,0.017184107808175825,-0.2600156148702704,0.7951860246177243,0.9967218516829064,1.0,False,False,False,0.00042237227613051154
alpha_mean,ies_avoidance,162,-0.00025487250616373496,0.0010773960565607908,-0.23656342958719015,0.8132980791806746,0.9967218516829064,1.0,False,False,False,0.0003496418092097109
rho_mean,ies_avoidance,162,0.0004792347395583925,0.0022167714703030597,0.21618590187507025,0.8291182160467104,0.9967218516829064,1.0,False,False,False,0.0002920168523089517
epsilon_mean,ies_total,162,-5.178668521725905e-05,0.00025454707553346445,-0.2034463963442818,0.8390446526686997,0.9967218516829064,1.0,False,False,False,0.000258623322833329
alpha_mean,ies_intrusion,162,0.00025367329677621037,0.0012470017311084162,0.20342657948897078,0.8390601142631098,0.9967218516829064,1.0,False,False,False,0.00025857295550035797
rho_mean,ies_intrusion,162,-0.00034887780179664697,0.0025658493106167227,-0.13596971589605603,0.8920161434682075,0.9967218516829064,1.0,False,False,False,0.00011553517283680037
rho_mean,ies_total,162,-8.94965285860054e-05,0.0008875093772591134,-0.10084009350120521,0.9198036499979628,0.9967218516829064,1.0,False,False,False,6.355048893691428e-05
wm_capacity_mean,lec_personal_events,162,-0.0013771312905283203,0.04709689769694987,-0.02924038223047348,0.9767093153002291,0.9967218516829064,1.0,False,False,False,5.343721150352643e-06
wm_capacity_mean,ies_total,162,-0.00013330999621172972,0.005739227675667292,-0.02322786335466818,0.9814974559043304,0.9967218516829064,1.0,False,False,False,3.372073853924462e-06
wm_capacity_mean,ies_hyperarousal,162,0.00036093351176732765,0.016888346252489184,0.021371749866516944,0.9829757378973498,0.9967218516829064,1.0,False,False,False,2.8546899278891757e-06
phi_mean,ies_hyperarousal,162,6.888428180255011e-06,0.001673985852314611,0.004114985900705445,0.9967218516829064,0.9967218516829064,1.0,False,False,False,1.0583191967228345e-07
