model,outcome,predictor,beta,se,ci_lower,ci_upper,t,p,r2,r2_adj,n,predictor_set
Q-Learning,alpha_pos,intercept,0.16579412617240516,0.06820348269896948,0.03099270058794265,0.3005955517568677,2.430874782511806,0.016283044185432225,0.00010291293877862095,-0.0067929290409538545,147,LESS
Q-Learning,alpha_pos,lec_total,-0.0007989313973373503,0.006539855451362179,-0.013724691242343925,0.012126828447669226,-0.12216346420484596,0.9029387081394951,0.00010291293877862095,-0.0067929290409538545,147,LESS
Q-Learning,alpha_pos,intercept,0.16287011602001222,0.043600073917269375,0.07669633299522459,0.24904389904479984,3.735546786665003,0.0002686056955729374,0.00012244204444877838,-0.006773265251796445,147,IES-R
Q-Learning,alpha_pos,ies_total,-0.0001582414843574968,0.00118752967551538,-0.0025053458674265767,0.002188862898711583,-0.13325265685577167,0.8941783218787314,0.00012244204444877838,-0.006773265251796445,147,IES-R
Q-Learning,alpha_pos,intercept,0.1692829284199561,0.07446013406931681,0.022106884021039164,0.31645897281887303,2.2734706368157536,0.02447689587193803,0.00020109324826345087,-0.013685002678843983,147,LESS + IES-R
Q-Learning,alpha_pos,lec_total,-0.000703626620335505,0.0066109619476366205,-0.013770689167109199,0.012363435926438187,-0.10643331876793624,0.9153866890036002,0.00020109324826345087,-0.013685002678843983,147,LESS + IES-R
Q-Learning,alpha_pos,ies_total,-0.00014275204419688948,0.0012004531633196859,-0.002515537834497568,0.0022300337461037887,-0.1189151301847784,0.905508323564383,0.00020109324826345087,-0.013685002678843983,147,LESS + IES-R
Q-Learning,alpha_neg,intercept,0.10108426745120837,0.058076097424717685,-0.013700790663607881,0.21586932556602462,1.740548554975494,0.08388412533915397,1.608123923579896e-06,-0.006894932509704521,147,LESS
Q-Learning,alpha_neg,lec_total,-8.50360599529877e-05,0.00556876668620061,-0.011091478228901757,0.010921406108995783,-0.015270178253958249,0.9878376248137473,1.608123923579896e-06,-0.006894932509704521,147,LESS
Q-Learning,alpha_neg,intercept,0.12147027534965124,0.03706760469748684,0.04820765358183285,0.19473289711746963,3.276992844317422,0.0013129824779945492,0.0031641069294028323,-0.0037106233676358347,147,IES-R
