participant_id,alpha_pos,alpha_neg,phi,rho,capacity,kappa_s,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,hessian_condition,hessian_invertible,alpha_pos_se,alpha_neg_se,phi_se,rho_se,capacity_se,kappa_s_se,epsilon_se,alpha_pos_ci_lower,alpha_neg_ci_lower,phi_ci_lower,rho_ci_lower,capacity_ci_lower,kappa_s_ci_lower,epsilon_ci_lower,alpha_pos_ci_upper,alpha_neg_ci_upper,phi_ci_upper,rho_ci_upper,capacity_ci_upper,kappa_s_ci_upper,epsilon_ci_upper,n_trials,converged,n_successful_starts,n_near_best,at_bounds,high_correlations
10113,0.008815542794764042,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,6.612092018127441,0.08733303099870682,0.46014586091041565,746.34423828125,1506.6884765625,1538.505924184841,1506.8512672601744,0.02391982435269968,7.503408596676309e-06,inf,False,0.003985045968307901,1.7137964042235306e-07,4.4608807131763444e-20,1.4509282075095116e-06,,0.029070855406522506,0.23682991966525085,0.00100499622014401,0.00099966414957454,0.0010000000474974513,0.0009971562804665793,,0.030355201402151193,-0.004032252094990307,0.016626089369384076,0.0010003359454203626,0.0010000000474974513,0.0010028438145283233,,0.14431086059526244,0.9243239739158216,696,True,50,6,"['alpha_pos', 'alpha_neg', 'phi', 'rho']",[]
10114,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,709,False,49,0,[],
10115,0.12613233923912048,0.0010000000474974513,0.0010000000474974513,0.6773970127105713,2.045375347137451,0.0020881432574242353,0.19185598194599152,415.7623596191406,845.5247192382812,877.491426246904,845.68403645023,0.4677310707731708,5.661576778948074e-06,1.162000180707328e+16,True,0.06722579130827688,1.2800797824785753e-06,0.0006773751169877307,0.3494993151356416,1.4854620776319554,0.04512472983217624,0.023560108393848377,-0.005627790557307999,0.0009974911372264553,-0.0003276307858221066,-0.007609057576700828,-0.866076825421223,-0.08635470202574136,0.14567901802218888,0.25789246903554897,0.0010025089577684473,0.0023276308808170094,1.3624030829978433,4.956827519696125,0.09053098854058983,0.23803294586979415,711,True,50,7,"['alpha_neg', 'phi', 'kappa_s']",[]
10116,0.004709911532700062,0.0010000000474974513,0.18765346705913544,0.833609402179718,4.41867733001709,0.048948001116514206,0.0010000000474974513,415.686767578125,845.37353515625,877.4088221395875,845.5312816351233,0.47301615342712755,5.660671376972459e-06,167649624064.0,True,0.0021351411571168166,2.1117543100189104e-07,0.019928848249445026,0.04812172402799414,0.382824192789187,0.03364887007386709,2.3904784454525526e-06,0.0005251117628419242,0.0009995861512582679,0.14859364223685909,0.7392925562108738,3.668355699739665,-0.017002572348732925,0.000995314795838545,0.0088947113025582,0.0010004139437366348,0.2267132918814118,0.9279262481485623,5.168998960294514,0.11489857458176134,0.0010046852991563576,718,True,50,1,"['alpha_pos', 'alpha_neg', 'epsilon']",[]
10117,0.06255843490362167,0.009767263196408749,0.17916812002658844,0.7762212753295898,1.0003662109375,4.5271040388650263e-11,0.06711103022098541,298.70025634765625,611.4005126953125,643.4064904941706,611.5589285368967,0.619736097438981,9.980251888919156e-06,229915164672.0,True,0.011138958541607962,0.008756953723951398,0.053619188468339116,4.180398104446521,5.350303110790261,3.5478645554176747e-06,0.014780651320154239,0.04072647733678526,-0.0073960507168199,0.0740764417483784,-7.417208450425102,-9.486035192584026,-6.953641479604465e-06,0.038141485965438704,0.08439039247045808,0.026930577109637397,0.28425979830479847,8.969651001084282,11.486767614459026,6.953732021685242e-06,0.09608057447653212,715,True,50,17,"['alpha_neg', 'capacity', 'kappa_s']","[('rho', 'capacity', -0.9931043386459351)]"
10119,0.006782907992601395,0.0010000000474974513,0.33220788836479187,0.8813617825508118,1.779515266418457,0.08867140859365463,0.0051246522925794125,620.954345703125,1255.90869140625,1287.9537209102973,1256.0662160194709,0.21388455715801635,8.648462426208425e-06,inf,True,0.001956045114403441,1.441586841092328e-07,0.050852789112651745,,,0.030457655531808812,0.1091167858111934,0.0029491300162351203,0.0009997175016685385,0.23253825319058388,,,0.028975500697782215,-0.20874031800613083,0.010616685968967669,0.001000282593326364,0.4318775235389999,,,0.14836731648952706,0.21898962259128965,719,True,50,2,"['alpha_pos', 'alpha_neg', 'epsilon']","[('alpha_pos', 'rho', 50551.49609375), ('alpha_pos', 'capacity', 3573.1572265625), ('alpha_neg', 'rho', 3.3603668212890625), ('alpha_neg', 'capacity', 1.4739755392074585), ('phi', 'rho', 5157.16162109375), ('phi', 'capacity', 3619.63916015625), ('rho', 'capacity', 4865925215944704.0), ('rho', 'kappa_s', -1157.542724609375), ('rho', 'epsilon', -2991.530029296875), ('capacity', 'kappa_s', 1106.583251953125), ('capacity', 'epsilon', 39030.88671875)]"
10120,0.0010000000474974513,0.0010000000474974513,0.08255454897880554,0.9990000128746033,3.74033522605896,0.15459205210208893,0.03575007617473602,409.6377258300781,833.2754516601562,865.2814294590144,833.4338675017405,0.4785058367038507,,,False,,,,,,,,,,,,,,,,,,,,,,715,True,50,5,"['alpha_pos', 'alpha_neg', 'rho']",
10121,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,711,False,48,0,[],
10125,0.019182857125997543,0.0010000000474974513,0.3533174395561218,0.5672603249549866,3.000007390975952,0.12435868382453918,0.0010000000474974513,431.91278076171875,877.8255615234375,909.8510924076348,877.9835304938183,0.4516820703894092,2.334923505783081,97148592128.0,True,0.00272399080126487,2.452292250100033e-07,0.03358140553260249,0.15559707589710312,1.0538034042353102,0.038775433552889184,1.4402149347284832e-06,0.013843933261299995,0.000999519407048475,0.2874990941619868,0.2622956600969191,0.9345906718890404,0.04836023057595039,0.0009971772780953867,0.024521780990695092,0.0010004806879464277,0.41913578495025683,0.8722249898130541,5.065424110062864,0.20035713707312797,0.001002822816899516,717,False,50,5,"['alpha_neg', 'epsilon']",[]
10126,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,719,False,49,0,[],
10128,0.05961231514811516,0.0010000001639127731,0.09413241595029831,0.9068526029586792,1.010986566543579,0.09011605381965637,0.25782719254493713,503.15716552734375,1020.3143310546875,1052.2217156743734,1020.4750197203977,0.35036398692005544,5.0239286792930216e-06,2150786560.0,True,0.023936449622131213,1.0617543518128535e-06,0.09519351559081157,26.21908373821275,29.221289703117158,0.038861220334879244,0.03307777716241851,0.012697735970980596,0.0009979191636227912,-0.0924434461694445,-50.48160723157812,-56.26168883337718,0.013949461568017477,0.19299594061795533,0.10652689432524973,0.001002081164202755,0.2807082780700411,52.295312437495475,58.28366196646434,0.16628264607129528,0.32265844447191894,705,True,50,18,['alpha_neg'],"[('rho', 'capacity', -0.9997665286064148)]"
10130,0.012419899925589561,0.0010000000474974513,0.26551470160484314,0.7657138705253601,1.7157938480377197,0.038748014718294144,0.08230186253786087,583.7646484375,1181.529296875,1213.5156668179002,1181.688162123227,0.25474686938872715,8.164425707946066e-06,789998080.0,True,0.0037127353424838126,1.6274142414027812e-07,0.1145886110578808,175.80181441143418,393.93267004697054,0.03143131729781732,0.08059035030238154,0.005143072370192306,0.0009996810801673436,0.040925150892928586,-343.7995107926803,-770.3780517777251,-0.022856235172078618,-0.0756523215562736,0.019696727480986817,0.001000319014827559,0.4901042523167577,345.330938533731,773.8096394738005,0.1003522646086669,0.24025604663199535,713,True,50,3,['alpha_neg'],"[('rho', 'capacity', -0.9999998211860657)]"
10134,0.6971267461776733,0.9980108737945557,0.9650306105613708,0.9990000128746033,3.982051372528076,0.14851659536361694,0.42850494384765625,742.955078125,1499.91015625,1531.777711459242,1500.0717724116162,0.03528265944225184,,,False,,,,,,,,,,,,,,,,,,,,,,701,True,50,6,"['alpha_neg', 'rho']",
10135,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,704,False,48,0,[],
10137,0.049078769981861115,0.0010000000474974513,0.19244323670864105,0.9180218577384949,4.000851631164551,0.10194125771522522,0.07103734463453293,280.0086364746094,574.0172729492188,606.0525599325563,574.175019428092,0.6450211076413876,9.812995813263115e-06,15810254848.0,True,0.020703743298660607,7.651282790823274e-07,0.02023519156026189,0.14157054196634355,0.917816892808714,0.05660320941994836,0.01623527208452595,0.008500178771323828,0.0009985004236268968,0.1527829900302589,0.6405486942126453,2.201963576857012,-0.008998994157251888,0.03921679606965354,0.0896573611923984,0.0010014996713680058,0.23210348338702322,1.1954950212643445,5.7997396854720895,0.21288150958770233,0.10285789319941233,718,True,50,15,['alpha_neg'],[]
10139,0.009477101266384125,0.0010000000474974513,0.39214563369750977,0.9990000128746033,2.077444076538086,0.14054104685783386,0.1848255693912506,616.6002807617188,1247.2005615234375,1279.1079461431234,1247.3612501891478,0.2038953720589538,,,False,,,,,,,,,,,,,,,,,,,,,,705,True,50,2,"['alpha_pos', 'alpha_neg', 'rho']",
