participant_id,alpha_pos,alpha_neg,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,hessian_condition,hessian_invertible,alpha_pos_se,alpha_neg_se,epsilon_se,alpha_pos_ci_lower,alpha_neg_ci_lower,epsilon_ci_lower,alpha_pos_ci_upper,alpha_neg_ci_upper,epsilon_ci_upper,n_trials,converged,n_successful_starts,n_near_best,at_bounds,high_correlations
10031,0.6657211780548096,0.018773525953292847,0.2139858901500702,443.34039306640625,892.6807861328125,906.4143702059756,892.7143525663789,0.43874017174241486,9.320036951976363e-06,3284767.75,True,52.0720339223641,0.008356124567198727,0.02174702435089092,-101.39358991152679,0.002395822751252996,0.17136250565140843,102.72503226763641,0.0351512291553327,0.25660927464873196,719,True,50,26,[],[]
10035,0.041589416563510895,0.0010000000474974513,0.1284404695034027,421.7774658203125,849.554931640625,863.2801591624238,849.5885922296853,0.46454896192899786,3.218899291823618e-05,9699821568.0,True,0.006184261010077732,5.763577298167574e-07,0.023734096644111993,0.029468487712763246,0.000998870407104799,0.08192249487535025,0.053710345414258544,0.0010011296878901035,0.17495844413145517,717,True,50,8,['alpha_neg'],[]
10036,0.019508736208081245,0.0010000000474974513,0.08386262506246567,551.6913452148438,1109.3826904296875,1123.0911346909304,1109.4165409233406,0.29569270209666354,9.880257493932731e-06,864472064.0,True,0.0035685774263619326,1.29446568899628e-07,0.059539056300477185,0.01251445297636922,0.0009997463368844857,-0.032831780959972204,0.02650301943979327,0.0010002537581104169,0.20055703108490353,713,True,50,22,['alpha_neg'],[]
10039,0.9990000128746033,0.0370837040245533,0.26354682445526123,465.67156982421875,937.3431396484375,951.0431569378472,937.3770859002055,0.4038361046710237,,,False,,,,,,,,,,711,True,50,12,['alpha_pos'],
10041,0.01699158176779747,0.0010000000474974513,0.24994592368602753,670.4503784179688,1346.9007568359375,1360.5368058169408,1346.9354389168623,0.12317495123154842,2.1886492049816297e-06,449204320.0,True,0.004617981517450524,1.1854832740634273e-07,0.11308651363846539,0.007940504312322816,0.0009997676970453075,0.028300429817437744,0.026042659223272126,0.0010002323979495951,0.4715914175546173,696,True,50,22,['alpha_neg'],[]
10043,,,,,,,,,,,False,,,,,,,,,,716,False,48,0,[],
10047,0.028950734063982964,0.0010000000474974513,0.13290631771087646,500.2859802246094,1006.5719604492188,1020.2971879710176,1006.6056210382791,0.36488155685927803,8.43805173644796e-06,1773779328.0,True,0.003965461982268714,2.146172568112424e-07,0.031010929076935784,0.021178571396673472,0.0009995794054036406,0.0721260135929564,0.036722896731292455,0.001000420689591262,0.19368662182879653,717,True,50,9,['alpha_neg'],[]
10048,0.024079620838165283,0.0010000000474974513,0.06527562439441681,566.6344604492188,1139.2689208984375,1152.930721110515,1139.3033048525922,0.265280750627618,6.581019988516346e-05,90257824.0,True,0.0028666302401105874,4.58425054494095e-08,0.03377282854206397,0.018461128810555123,0.0009999101978378094,-0.0009179032040749491,0.029698112865775443,0.0010000898971570932,0.13146915199290857,702,True,50,4,['alpha_neg'],[]
10050,0.02548263967037201,0.0010000000474974513,0.0682484582066536,460.24725341796875,926.4945068359375,940.2197343577363,926.5281674249978,0.41571115201074216,2.0157381186436396e-06,1029971072.0,True,0.003828610074759365,1.4694099574762948e-07,0.033788419943097704,0.01797870181299645,0.0009997120484379334,0.0020243720236671897,0.03298657752774757,0.0010002880465569692,0.13447254438964001,717,True,50,26,['alpha_neg'],[]
10051,0.11014583706855774,0.015693459659814835,0.1728440672159195,392.55859375,791.1171875,804.8087540795964,791.1512300531915,0.4960194206195786,1.1220199667150155e-05,16.121788024902344,True,0.03129204062930501,0.008122003296910322,0.021146363946965827,0.04881456443235583,-0.00022537428444497493,0.1313979554758902,0.17147710970475966,0.031612293604074644,0.2142901789559488,709,True,50,23,[],[]
