model,parameter,predictor,n,rho,p_uncorrected,p_fwe,significant
WM-RL,epsilon,ies_avoidance,45,-0.060563896274907804,0.6926912656178114,1.0,False
WM-RL,epsilon,ies_hyperarousal,45,-0.1158528892694691,0.4485392638952894,1.0,False
WM-RL+K,alpha_pos,lec_total,45,-0.1016325948266358,0.506491672851063,1.0,False
WM-RL+K,alpha_pos,lec_personal,45,-0.11285566904138453,0.46044271442621987,1.0,False
WM-RL+K,alpha_pos,ies_intrusion,45,-0.17328781664759138,0.25496335894572647,1.0,False
WM-RL+K,alpha_pos,ies_avoidance,45,-0.12948582916935913,0.39657636087580883,1.0,False
WM-RL+K,alpha_pos,ies_hyperarousal,45,-0.04648873095058533,0.7617037687966085,1.0,False
WM-RL+K,alpha_neg,lec_total,45,0.19563273879788062,0.19778040471279285,1.0,False
WM-RL+K,alpha_neg,lec_personal,45,0.048876006130475116,0.7498520017682768,1.0,False
WM-RL+K,alpha_neg,ies_intrusion,45,0.1643989873053573,0.2805201397982214,1.0,False
WM-RL+K,alpha_neg,ies_avoidance,45,0.17453208793159813,0.2515147856377134,1.0,False
WM-RL+K,alpha_neg,ies_hyperarousal,45,0.10005816205652172,0.513133185363616,1.0,False
WM-RL+K,phi,lec_total,45,0.2548700809272115,0.0910968871189092,1.0,False
WM-RL+K,phi,lec_personal,45,0.3186671085520303,0.0328839361833804,1.0,False
WM-RL+K,phi,ies_intrusion,45,0.318363689263544,0.033060048075624064,1.0,False
WM-RL+K,phi,ies_avoidance,45,0.40643866075702745,0.005597767833942022,0.19592187418797077,False
WM-RL+K,phi,ies_hyperarousal,45,0.32066670989037094,0.031742594361605724,1.0,False
WM-RL+K,rho,lec_total,45,-0.04861423390925525,0.7511488629793369,1.0,False
WM-RL+K,rho,lec_personal,45,-0.22999469062463077,0.12853797115251647,1.0,False
WM-RL+K,rho,ies_intrusion,45,-0.11397216960603139,0.4559887380239131,1.0,False
WM-RL+K,rho,ies_avoidance,45,-0.07785249624073426,0.6112241371643766,1.0,False
WM-RL+K,rho,ies_hyperarousal,45,-0.06806592161990807,0.6568494521120561,1.0,False
WM-RL+K,capacity,lec_total,45,-0.13541715497467574,0.37511202471899197,1.0,False
WM-RL+K,capacity,lec_personal,45,0.1807097703154928,0.2348586937283081,1.0,False
WM-RL+K,capacity,ies_intrusion,45,-0.013263405889578923,0.9310899183485936,1.0,False
WM-RL+K,capacity,ies_avoidance,45,-0.02927294355174595,0.8486166106654498,1.0,False
WM-RL+K,capacity,ies_hyperarousal,45,-0.09290746313935108,0.5438380964351961,1.0,False
WM-RL+K,kappa,lec_total,45,-0.013968525803504326,0.9274359781494477,1.0,False
WM-RL+K,kappa,lec_personal,45,-0.10635259286230453,0.4868455955375714,1.0,False
WM-RL+K,kappa,ies_intrusion,45,-0.2103226185905243,0.16551733788632148,1.0,False
WM-RL+K,kappa,ies_avoidance,45,-0.09539770662047856,0.5330458063684947,1.0,False
WM-RL+K,kappa,ies_hyperarousal,45,-0.11800875317785346,0.44008258513119314,1.0,False
WM-RL+K,epsilon,lec_total,45,-0.4116349277205817,0.004964040633306536,0.17374142216572877,False
WM-RL+K,epsilon,lec_personal,45,-0.18163079120539727,0.23244159463043237,1.0,False
WM-RL+K,epsilon,ies_intrusion,45,-0.0799640384168473,0.6015605448086488,1.0,False
WM-RL+K,epsilon,ies_avoidance,45,-0.05504758460503134,0.7194816724976264,1.0,False
WM-RL+K,epsilon,ies_hyperarousal,45,0.09810569481764357,0.5214297165018178,1.0,False
