participant_id,alpha_pos,alpha_neg,phi,rho,capacity,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,hessian_condition,hessian_invertible,alpha_pos_se,alpha_neg_se,phi_se,rho_se,capacity_se,epsilon_se,alpha_pos_ci_lower,alpha_neg_ci_lower,phi_ci_lower,rho_ci_lower,capacity_ci_lower,epsilon_ci_lower,alpha_pos_ci_upper,alpha_neg_ci_upper,phi_ci_upper,rho_ci_upper,capacity_ci_upper,epsilon_ci_upper,n_trials,converged,n_successful_starts,n_near_best,at_bounds,high_correlations
10030,0.027210811153054237,0.0010000000474974513,0.0010000000474974513,0.9203404188156128,2.938033103942871,0.0434761643409729,284.2800598144531,580.5601196289062,608.0022006306701,580.6785963566919,0.6385993550405882,2.8325332550593885e-06,9841904975872.0,True,0.006601995977056331,2.0093517628654646e-05,0.004691608868708906,0.11870916603449139,0.46148973790799497,0.016350075061057488,0.014271136811945504,0.0009606174766225676,-0.008195384364720712,0.6876747287532242,2.033529838408372,0.011430606076773701,0.040150485494162974,0.001039382618372335,0.010195384459715615,1.1530061088780013,3.84253636947737,0.07552172260517209,716,True,50,16,"['alpha_neg', 'phi']",[]
10031,0.010675490833818913,0.0010000000474974513,0.21794046461582184,0.8624848127365112,3.3336129188537598,0.038414206355810165,427.63128662109375,867.2625732421875,894.7297413885137,867.3805507702774,0.45862757772541896,2.538028456910979e-05,4222963.5,True,0.0033566790739832154,2.3375723902595274e-06,0.021989436855409664,0.07394355984691478,0.5303010158770523,0.04592673436494947,0.004096520741152551,0.0009954184898012875,0.1748419603389012,0.7175580985478762,2.2942420267697337,-0.05160053892702883,0.017254460926485273,0.001004581605193615,0.2610389688927425,1.0074115269251462,4.372983810937786,0.12842895163864915,719,True,50,6,"['alpha_pos', 'alpha_neg']",[]
10035,0.010537393391132355,0.0010000000474974513,0.1941421777009964,0.9990000128746033,2.667172431945801,0.0010000000474974513,373.52410888671875,759.0482177734375,786.4986728170352,759.1665276325924,0.5258071185501737,0.06521236896514893,374343616.0,True,0.0014891384952353084,3.0137814945203847e-06,0.023355481383665465,1.9791912677409374e-05,0.16557478893180583,1.0805597584815105e-05,0.007618735572478979,0.000994093144310918,0.14836627534741637,0.9989612214385704,2.3426518088916404,0.0009788214653997807,0.01345605120978573,0.0010059069506839846,0.23991808005457643,0.9990388043106362,2.991693054999961,0.0010211786295951219,717,False,50,4,"['alpha_pos', 'alpha_neg', 'rho', 'epsilon']",[]
10036,0.013556539081037045,0.0010000000474974513,0.41870802640914917,0.8590832352638245,2.192657947540283,0.0010000000474974513,518.4395141601562,1048.8790283203125,1076.2959168427983,1048.998008490284,0.3381430821571755,4.596118742483668e-05,458985472.0,True,0.0017298181973025783,2.096456926667264e-06,0.026730999711780234,0.08179910975377286,0.3814626611954295,2.0157749258871703e-05,0.010166157714521989,0.000995891067426044,0.36631622970330935,0.6987599261789906,1.4450048701504365,0.0009604915849406738,0.0169469204475521,0.0010041090275688586,0.471099823114989,1.0194065443486584,2.94031102493013,0.0010395085100542289,713,True,50,2,"['alpha_neg', 'epsilon']",[]
10039,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,711,False,49,0,[],
10041,0.018586942926049232,0.0010000000474974513,0.60997474193573,0.3811566233634949,7.0,0.1548813432455063,659.5441284179688,1331.0882568359375,1358.360354797944,1331.2101726559665,0.13743830836574233,3.961902984883636e-05,inf,False,0.005402501316483863,1.9811285071052165e-06,0.06327564701955554,0.08159301124503936,,0.07860917092603932,0.007998234919310633,0.0009961171069747794,0.4859567526789319,0.2212372599330461,,0.0008101993759160875,0.02917565093278783,0.0010038829880201232,0.7339927311925281,0.5410759867939436,,0.3089524871150965,696,True,50,12,"['alpha_neg', 'capacity']",[]
10043,0.011525369249284267,0.0010000000474974513,0.3935776948928833,0.8794208765029907,2.1189703941345215,0.0010000000474974513,527.5745849609375,1067.149169921875,1094.5912509236389,1067.2676466496607,0.3293029578172927,0.0037543587386608124,1007158592.0,True,0.0015700096937179915,2.7947788514467395e-06,0.03830032925925769,0.07065664695059673,0.32959345519651334,3.224312102034219e-05,0.008448206794218243,0.0009945223816038614,0.31851042894871257,0.7409363932114593,1.4729790924092394,0.0009368046915484143,0.014602531704350292,0.0010054777133910412,0.46864496083705404,1.0179053597945222,2.7649616958598036,0.0010631954034464883,716,False,50,7,"['alpha_neg', 'epsilon']",[]
10047,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,717,False,49,0,[],
10048,0.02292538620531559,0.0010000000474974513,0.5508074164390564,0.3556438684463501,1.010801911354065,0.020273620262742043,563.2220458984375,1138.444091796875,1165.7676922210298,1138.5649551062274,0.2697054138493179,0.00023036886705085635,inf,True,0.0025111355965001586,6.620712532974996e-07,0.07294697599928035,,,0.024246748790325123,0.018003650875878775,0.000998702411685789,0.4078339706993592,,,-0.02724913410848532,0.027847121534752405,0.0010012976833091137,0.6937808621787536,,,0.0677963746339694,702,True,50,3,['alpha_neg'],"[('alpha_pos', 'rho', 1461.815185546875), ('alpha_pos', 'capacity', -302.32977294921875), ('alpha_neg', 'rho', 25.572847366333008), ('alpha_neg', 'capacity', -9.455953598022461), ('phi', 'rho', -3846.3427734375), ('phi', 'capacity', 3823.064208984375), ('rho', 'capacity', 639928182505472.0), ('rho', 'epsilon', -13183.2138671875), ('capacity', 'epsilon', 5243.3037109375)]"
10050,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,717,False,49,0,[],
