participant_id,alpha_pos,alpha_neg,phi,rho,capacity,kappa,phi_rl,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,hessian_condition,hessian_invertible,alpha_pos_se,alpha_neg_se,phi_se,rho_se,capacity_se,kappa_se,phi_rl_se,epsilon_se,alpha_pos_ci_lower,alpha_neg_ci_lower,phi_ci_lower,rho_ci_lower,capacity_ci_lower,kappa_ci_lower,phi_rl_ci_lower,epsilon_ci_lower,alpha_pos_ci_upper,alpha_neg_ci_upper,phi_ci_upper,rho_ci_upper,capacity_ci_upper,kappa_ci_upper,phi_rl_ci_upper,epsilon_ci_upper,n_trials,converged,n_successful_starts,n_near_best,at_bounds,high_correlations
10087,0.030610984191298485,0.0010000000474974513,0.17236711084842682,0.8926898241043091,3.4092166423797607,0.07127347588539124,0.04082394391298294,0.024516260251402855,358.2490539550781,732.4981079101562,769.0651716088729,732.7023632293052,0.5432880366780581,1.4932576050341595e-05,48922136.0,True,0.013816960762022181,7.963095767537002e-06,0.03188300703005691,0.07962800066976311,0.7844523093195956,0.018325370575048554,0.02201001177402331,0.01572601352793537,0.003530238721931908,0.0009843926665876355,0.10987756535067791,0.7366218106306421,1.871718368524079,0.03535640955494601,-0.0023148864634052885,-0.006306159883740146,0.05769172966066506,0.001015607428407267,0.23485665634617572,1.048757837577976,4.946714916235442,0.10719054221583646,0.08396277428937117,0.05533868038654585,714,True,50,3,['alpha_neg'],[]
10088,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,720,False,47,0,[],
10089,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,716,False,47,0,[],
10090,0.02473830245435238,0.0010000000474974513,0.0010001477785408497,0.03958449885249138,1.0,0.06477385014295578,0.12334782630205154,0.0010000000474974513,748.8387451171875,1513.677490234375,1550.3003810961434,1513.8803071357834,0.05198553515482607,1.4268646737036761e-05,2663645569875968.0,True,0.006593598032492528,5.326466777790014e-06,0.21817662177438923,0.2107066689357234,0.3344370566556291,0.0268553215096047,0.03248305406732582,5.8688412752959555e-05,0.011815087782132864,0.0009895603644481338,-0.42661817316787937,-0.3733929835639311,0.34451541385938533,0.01213838719088673,0.05968221022222561,0.0008849728721918293,0.0376615171265719,0.0010104397305467688,0.42861846872496107,0.45256198126891384,1.6554845861406147,0.11740931309502484,0.18701344238187748,0.0011150272228030733,719,True,50,9,"['alpha_neg', 'phi', 'capacity', 'epsilon']",[]
10092,0.032410673797130585,0.0010000000474974513,0.18207529187202454,0.8984107375144958,3.3342437744140625,0.03552190586924553,0.05818355083465576,0.05014122277498245,398.4217834472656,812.8435668945312,849.4106305932479,813.0478222136802,0.49207403916481185,1.58865859702928e-05,46981564.0,True,0.01854951129717671,7.703001766231693e-06,0.023125232424287892,0.0977088813493814,0.7801802961698788,0.01756237274865008,0.024838912575391975,0.031042531317323274,-0.00394570027615463,0.0009849024414627888,0.13675066918630238,0.706904849100011,1.8051184924733072,0.0011002877988236584,0.009500176771748449,-0.010701020595927882,0.06876704787041579,0.0010150976535321138,0.2273999145577467,1.0899166259289808,4.863369056354818,0.0699435239396674,0.10686692489756308,0.11098346614589279,714,True,50,4,['alpha_neg'],[]
10093,0.017285671085119247,0.0010000000474974513,0.22580355405807495,0.58835768699646,2.938971519470215,0.08046873658895493,0.019659338518977165,0.0010000000474974513,513.2239379882812,1042.4478759765625,1078.9924992678584,1042.6527123919252,0.34388123539208837,1.890747807919979e-05,1891772928.0,True,0.005243044339604539,4.6823882600608776e-06,0.0423468201444876,0.14089821172915168,0.8600171304190443,0.022003676700676916,0.015569274915189902,4.192913244203675e-05,0.00700949301014776,0.0009908227351460989,0.14280531171508398,0.3122022665212237,1.2533689177614016,0.037342322728165046,-0.010855879580197948,0.0009178204580080493,0.027561849160090735,0.0010091773598488037,0.3088017964010659,0.8645131074716963,4.6245741211790286,0.12359515044974481,0.050174556618152275,0.0010821796369868534,712,True,50,16,"['alpha_neg', 'epsilon']",[]
10094,0.040832940489053726,0.0010000000474974513,0.1296795904636383,0.43896937370300293,2.856415033340454,2.1900293277249827e-18,0.10041432827711105,0.07269629836082458,561.1702270507812,1138.3404541015625,1174.8512983138196,1138.5461683872768,0.27954985405259547,6.707754073431715e-05,235021440.0,True,0.015127627625572295,1.2205846879894643e-05,0.04008963680782323,0.22940897351819242,1.6530390655916076,1.04334264093376e-05,0.026498699723564702,0.06421601520283027,0.011183335171398856,0.0009760770272120472,0.05110534616701347,-0.010663952122957232,-0.3834820002568411,-2.0449139997648562e-05,0.048477831181782755,-0.053164778667399326,0.0704825458067086,0.0010239230677828554,0.20825383476026316,0.8886026995289631,6.096312066937749,2.044913999765294e-05,0.15235082537243935,0.1985573753890485,709,True,50,11,"['alpha_neg', 'kappa']",[]
10095,0.08584529906511307,0.0010000000474974513,0.0010000000474974513,0.7916085124015808,1.0564786195755005,2.9025286473892582e-15,0.11710844188928604,0.05455406755208969,456.2974548339844,928.5949096679688,965.1395329592646,928.7997460833315,0.4166575247192694,3.4503445931477472e-06,inf,True,0.02717689424864468,1.1600107667202035e-05,0.013008621737413769,,,7.065403371728771e-06,0.023401308231980295,0.03372673599232173,0.03257956512611576,0.0009772642542529484,-0.024496430046338398,,,-1.3847936141933725e-05,0.07124272056348398,-0.011549120308951666,0.13911103300411037,0.0010227358407419542,0.0264964301413333,,,1.3847936147738784e-05,0.16297416321508812,0.12065725541313105,712,True,50,21,"['alpha_neg', 'phi', 'kappa']","[('alpha_pos', 'rho', -21457.322265625), ('alpha_pos', 'capacity', -104049.0), ('alpha_neg', 'rho', -159.7072296142578), ('alpha_neg', 'capacity', 200.81089782714844), ('phi', 'rho', 2103.9755859375), ('phi', 'capacity', -8245.6455078125), ('rho', 'capacity', 1.496617947412562e+17), ('rho', 'kappa', 1.3471908569335938), ('rho', 'phi_rl', 11400.5712890625), ('rho', 'epsilon', -40955.625), ('capacity', 'kappa', -5.324963092803955), ('capacity', 'phi_rl', -68913.6328125), ('capacity', 'epsilon', 49487.703125)]"
10097,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,717,False,47,0,[],
10098,0.040526892989873886,0.0010000000474974513,0.14633476734161377,0.8088186979293823,3.0000147819519043,2.3700158685048088e-36,0.06702712178230286,0.04151744768023491,373.4828796386719,762.9657592773438,799.5103825686396,763.1705956927065,0.522529820897937,0.02189480885863304,392767264.0,True,0.015760808445403545,1.272994306605993e-05,0.0427047328898118,0.11001216711770688,0.7172709586405603,1.7331764963401082e-05,0.02203609040675491,0.025756387961528533,0.00963627606964822,0.0009750498175627284,0.06263502890817953,0.5931988125174752,1.5941895358598874,-3.396963511677929e-05,0.02383717822499465,-0.008964145096202032,0.07141750991009956,0.0010249502774321742,0.23003450577504803,1.0244385833412895,4.405840028043921,3.396963511677929e-05,0.11021706533961106,0.09199904045667184,712,False,50,9,"['alpha_neg', 'kappa']",[]
