Section,Parameter,Predictor,N,β,SE,t,p,R²,95% CI,r,p_fdr,sig_fdr,shapiro_w,shapiro_p,residuals_normal,bp_stat,bp_p,homoscedastic
kappa (Perseveration) ~ IES-R Hyperarousal,kappa_mean,ies_hyperarousal,162,-0.003,0.006,-0.47,0.637,0.001,"[-0.014, 0.009]",-0.037,0.892,False,0.958,0.0001,False,1.280,0.2578,True
kappa (Perseveration) ~ IES-R Intrusion,kappa_mean,ies_intrusion,162,-0.009,0.006,-1.61,0.109,0.016,"[-0.021, 0.002]",-0.126,0.764,False,0.970,0.0013,False,0.749,0.3869,True
kappa (Perseveration) ~ IES-R Total Score,kappa_mean,ies_total,162,-0.002,0.002,-1.14,0.257,0.008,"[-0.006, 0.002]",-0.089,0.815,False,0.964,0.0003,False,0.721,0.3959,True
kappa (Perseveration) ~ LEC-5 Personal Events,kappa_mean,lec_personal_events,162,-0.006,0.016,-0.35,0.729,0.001,"[-0.038, 0.027]",-0.027,0.928,False,0.956,0.0001,False,2.145,0.1431,True
kappa (Perseveration) ~ LEC-5 Total Events,kappa_mean,lec_total_events,162,0.021,0.012,1.78,0.077,0.019,"[-0.002, 0.043]",0.139,0.750,False,0.969,0.0011,False,0.038,0.8451,True
phi (WM Decay Rate) ~ IES-R Avoidance,phi_mean,ies_avoidance,162,0.002,0.003,0.64,0.522,0.003,"[-0.005, 0.009]",0.051,0.882,False,0.849,0.0000,False,1.992,0.1581,True
phi (WM Decay Rate) ~ IES-R Hyperarousal,phi_mean,ies_hyperarousal,162,-0.001,0.004,-0.13,0.898,0.000,"[-0.008, 0.007]",-0.010,0.943,False,0.846,0.0000,False,2.466,0.1164,True
phi (WM Decay Rate) ~ IES-R Intrusion,phi_mean,ies_intrusion,162,0.005,0.004,1.23,0.220,0.009,"[-0.003, 0.013]",0.097,0.815,False,0.858,0.0000,False,1.124,0.2890,True
phi (WM Decay Rate) ~ IES-R Total Score,phi_mean,ies_total,162,0.001,0.001,0.64,0.525,0.003,"[-0.002, 0.004]",0.050,0.882,False,0.850,0.0000,False,2.221,0.1362,True
phi (WM Decay Rate) ~ LEC-5 Personal Events,phi_mean,lec_personal_events,162,0.015,0.011,1.34,0.184,0.011,"[-0.007, 0.037]",0.105,0.815,False,0.863,0.0000,False,0.015,0.9013,True
phi (WM Decay Rate) ~ LEC-5 Total Events,phi_mean,lec_total_events,162,0.007,0.008,0.86,0.390,0.005,"[-0.009, 0.023]",0.068,0.815,False,0.852,0.0000,False,0.333,0.5637,True
phi_rl (RL Forgetting Rate) ~ IES-R Avoidance,phi_rl_mean,ies_avoidance,162,-0.001,0.001,-1.25,0.213,0.010,"[-0.004, 0.001]",-0.098,0.815,False,0.332,0.0000,False,2.514,0.1128,True
phi_rl (RL Forgetting Rate) ~ IES-R Hyperarousal,phi_rl_mean,ies_hyperarousal,162,-0.001,0.001,-0.95,0.344,0.006,"[-0.004, 0.001]",-0.075,0.815,False,0.326,0.0000,False,2.214,0.1367,True
phi_rl (RL Forgetting Rate) ~ IES-R Intrusion,phi_rl_mean,ies_intrusion,162,-0.001,0.001,-0.54,0.590,0.002,"[-0.003, 0.002]",-0.043,0.892,False,0.316,0.0000,False,1.370,0.2417,True
phi_rl (RL Forgetting Rate) ~ IES-R Total Score,phi_rl_mean,ies_total,162,-0.000,0.000,-1.01,0.315,0.006,"[-0.001, 0.000]",-0.079,0.815,False,0.328,0.0000,False,2.386,0.1225,True
phi_rl (RL Forgetting Rate) ~ LEC-5 Personal Events,phi_rl_mean,lec_personal_events,162,0.003,0.004,0.86,0.392,0.005,"[-0.004, 0.011]",0.068,0.815,False,0.318,0.0000,False,0.293,0.5886,True
phi_rl (RL Forgetting Rate) ~ LEC-5 Total Events,phi_rl_mean,lec_total_events,162,0.001,0.003,0.37,0.715,0.001,"[-0.004, 0.006]",0.029,0.928,False,0.308,0.0000,False,0.028,0.8661,True
rho (WM Weight) ~ IES-R Avoidance,rho_mean,ies_avoidance,162,0.001,0.003,0.48,0.630,0.001,"[-0.004, 0.006]",0.038,0.892,False,0.898,0.0000,False,0.032,0.8579,True
rho (WM Weight) ~ IES-R Hyperarousal,rho_mean,ies_hyperarousal,162,-0.000,0.003,-0.06,0.951,0.000,"[-0.006, 0.006]",-0.005,0.968,False,0.897,0.0000,False,0.066,0.7979,True
rho (WM Weight) ~ IES-R Intrusion,rho_mean,ies_intrusion,162,0.003,0.003,0.98,0.326,0.006,"[-0.003, 0.009]",0.078,0.815,False,0.901,0.0000,False,0.012,0.9130,True
rho (WM Weight) ~ IES-R Total Score,rho_mean,ies_total,162,0.001,0.001,0.51,0.609,0.002,"[-0.002, 0.003]",0.040,0.892,False,0.899,0.0000,False,0.000,0.9916,True
rho (WM Weight) ~ LEC-5 Personal Events,rho_mean,lec_personal_events,162,0.018,0.008,2.11,0.036*,0.027,"[0.001, 0.035]",0.165,0.508,False,0.907,0.0000,False,0.000,0.9921,True
rho (WM Weight) ~ LEC-5 Total Events,rho_mean,lec_total_events,162,0.010,0.006,1.71,0.089,0.018,"[-0.002, 0.022]",0.134,0.750,False,0.913,0.0000,False,0.112,0.7379,True
