participant_id,aic_M1,aic_M2,aic_M3,aic_M5,aic_M6a,aic_M6b,winning_model,m6b_nll,m6b_aic,m6b_n_trials,m6b_alpha,m6b_phi,m6b_rho,m6b_capacity,m6b_kappa_total,m6b_kappa_share,m6b_epsilon
10163,1029.5523681640625,986.590087890625,958.0980224609376,942.7105102539062,934.1255493164062,936.1255493164062,M6a,461.0627746582031,936.1255493164062,719,0.0042189634405076,0.2053468227386474,0.2410806566476822,3.5711050033569336,1.0,2.938758297831148e-39,0.1200532913208007
10164,1339.1766357421875,1278.188232421875,1270.9459228515625,1268.8175048828125,1269.935791015625,1271.935791015625,M5,628.9678955078125,1271.935791015625,719,0.0019825205672532,0.1669482886791229,0.1095099300146102,2.999999761581421,0.33251953125,6.444686846407421e-07,0.1030199602246284
10165,1289.0457763671875,1228.4456787109375,1221.572265625,1214.006591796875,1219.231689453125,1221.231689453125,M5,603.6158447265625,1221.231689453125,713,0.0044139912351965,0.2322887927293777,0.3449919521808624,2.0,0.5762835741043091,7.884738868757514e-13,0.2433567196130752
10166,873.5292358398438,843.6532592773438,833.3440551757812,813.2666015625,797.3756103515625,799.3756713867188,M6a,392.6878356933594,799.3756713867188,714,0.0087404977530241,0.1786895394325256,0.180771142244339,2.0,0.9736775159835817,1.6487916904103522e-21,0.0524696633219718
10168,612.4806518554688,599.3399047851562,576.4811401367188,578.1666259765625,603.8397216796875,578.4810791015625,M3,282.24053955078125,578.4810791015625,718,0.01018195040524,0.0010000001639127,0.2566301822662353,2.0,1.0,1.0,0.090281918644905
10169,792.5377807617188,758.80615234375,743.9473266601562,739.2261352539062,714.18505859375,716.1851196289062,M6a,351.0925598144531,716.1851196289062,713,0.0116446008905768,0.2600114047527313,0.3854146003723144,2.0,1.0,6.366559364660076e-22,0.0490790493786335
10170,743.71142578125,735.6988525390625,674.3173828125,656.6342163085938,700.8582153320312,675.4207153320312,M5,330.7103576660156,675.4207153320312,718,0.0103193586692214,0.1194451004266738,0.0993227139115333,6.0,1.0,0.83077472448349,0.0558608919382095
10171,731.453857421875,719.9253540039062,716.8010864257812,709.3964233398438,705.793212890625,707.7932739257812,M6a,346.8966369628906,707.7932739257812,718,0.0065556336194276,0.0936446338891983,0.172139286994934,2.999999761581421,0.7678065299987793,1.2073172255227908e-14,0.0699009895324707
10172,843.988525390625,849.8123779296875,809.5079956054688,811.018310546875,847.5316772460938,811.5081176757812,M3,398.7540588378906,811.5081176757812,719,0.0010000000474974,0.0342156440019607,0.3516006767749786,2.0,1.0,1.0,0.1747237294912338
10174,890.0621337890625,841.4464721679688,838.028076171875,825.6637573242188,832.6351928710938,834.196533203125,M5,410.0982666015625,834.196533203125,714,0.0076521048322319,0.2031280845403671,0.3415968716144562,2.0,0.5396208763122559,0.1807117760181427,0.0717226415872573
10175,1034.6507568359375,1000.1260375976562,999.359619140625,982.2372436523438,974.7183837890624,976.7183837890624,M6a,481.3591918945313,976.7183837890624,717,0.0085358871147036,0.2483899742364883,0.2258072644472122,3.0,0.8919695615768433,5.490054244550179e-11,0.1387774795293808
10177,776.0158081054688,771.42822265625,754.1956176757812,755.1746826171875,754.7598266601562,747.8729248046875,M6b,366.93646240234375,747.8729248046875,715,0.0090459855273365,0.0687724873423576,0.1928729265928268,2.0,1.0,0.4615435600280761,0.0953752249479293
10178,665.2744140625,612.8546752929688,610.6157836914062,607.6651000976562,592.7421875,594.5758666992188,M6a,290.2879333496094,594.5758666992188,718,0.0093697290867567,0.2030146420001983,0.4007182121276855,2.0,0.906324863433838,0.0848246067762374,0.0234559122473001
10179,427.0246887207031,402.25103759765625,403.6526184082031,398.075927734375,407.6812744140625,403.5465087890625,M5,194.77325439453125,403.5465087890625,716,0.3037925660610199,0.5056183934211731,0.7968369722366333,6.0,1.0,0.533125102519989,0.0346452295780181
10180,1177.624267578125,1129.2554931640625,1124.5565185546875,1113.119873046875,1112.73876953125,1114.73876953125,M6a,550.369384765625,1114.73876953125,708,0.0043718297965824,0.1653598695993423,0.1964487880468368,2.0,0.5855692625045776,2.0352463048851926e-23,0.1514609158039093
10181,1002.8096313476562,964.3258666992188,955.2338256835938,950.02734375,949.3374633789062,951.33740234375,M6a,468.668701171875,951.33740234375,719,0.0059495628811419,0.1551391631364822,0.15352663397789,2.5959010124206543,0.3596029281616211,1.0546349210605044e-10,0.0557112358510494
10182,1030.325927734375,948.67333984375,939.4229125976562,937.313232421875,928.63232421875,930.63232421875,M6a,458.316162109375,930.63232421875,696,0.0061584943905472,0.2142549157142639,0.1960782408714294,2.0228211879730225,0.4425497055053711,7.109548626899054e-12,0.0193877406418323
10183,1162.7218017578125,1153.37744140625,1125.738037109375,1113.014404296875,1071.9866943359375,1064.52294921875,M6b,525.261474609375,1064.52294921875,719,0.0010000000474974,0.0726174265146255,0.0480229705572128,5.999999046325684,1.0,0.2647885978221893,0.0010000000474974
10185,1323.331298828125,1273.5889892578125,1266.670166015625,1241.87451171875,1233.467041015625,1235.1458740234375,M6a,610.5729370117188,1235.1458740234375,710,0.0020896079950034,0.2423698455095291,0.2584739625453949,2.0,0.8696038722991943,0.0876539796590805,0.182827889919281
10186,572.5604858398438,553.1080932617188,514.706787109375,516.5096740722656,536.4323120117188,516.2577209472656,M3,251.1288604736328,516.2577209472656,718,0.0043761427514255,0.0010000000474974,0.1764428466558456,2.7895779609680176,1.0,0.870954155921936,0.050813503563404
10191,727.2939453125,725.1767578125,707.9218139648438,708.7198486328125,719.2723999023438,708.4797973632812,M3,347.2398986816406,708.4797973632812,708,0.0095131928101181,0.0270803365856409,0.1009004339575767,5.464323043823242,1.0,0.7218980193138123,0.1171734556555748
10192,1419.8828125,1273.720947265625,1272.9808349609375,1272.6656494140625,1285.3056640625,1271.759033203125,M6b,628.8795166015625,1271.759033203125,709,0.0010000000474974,0.2308313399553299,0.1848108470439911,2.0,0.5782908201217651,0.669799268245697,0.0541555471718311
10196,816.8817749023438,802.9027099609375,802.9707641601562,802.006103515625,807.4898071289062,798.5296020507812,M6b,392.2648010253906,798.5296020507812,718,0.005637320689857,0.0538312494754791,0.055995088070631,5.0,0.9524778127670288,0.4798609316349029,0.0221885610371828
