draw_idx,accuracy,below_chance,at_ceiling
235,0.48324022,0,0
236,0.7569832,0,0
237,0.9003083,0,0
238,0.5020862,0,0
239,0.66619915,0,0
240,0.7130919,0,0
241,0.52990264,0,0
242,0.680203,0,0
243,0.43314764,0,0
244,0.5611111,0,0
245,0.76570046,0,0
246,0.67741936,0,0
247,0.821975,0,0
248,0.43758968,0,0
249,0.8242678,0,0
250,0.8970793,0,0
251,0.8666667,0,0
252,0.46164575,0,0
253,0.6135266,0,0
254,0.49646392,0,0
255,0.6103352,0,0
256,0.56345886,0,0
257,0.6468085,0,0
258,0.66481227,0,0
259,0.88981867,0,0
260,0.5793872,0,0
261,0.7949495,0,0
262,0.78859526,0,0
263,0.68296087,0,0
264,0.5535466,0,0
265,0.8473389,0,0
266,0.5132128,0,0
267,0.45034966,0,0
268,0.3536932,0,0
269,0.45479834,0,0
270,0.52793294,0,0
271,0.71210015,0,0
272,0.41786742,0,0
273,0.80172414,0,0
274,0.8317107,0,0
275,0.51532036,0,0
276,0.5744089,0,0
277,0.8666667,0,0
278,0.43593314,0,0
279,0.6348884,0,0
280,0.6614951,0,0
281,0.59707725,0,0
282,0.60724235,0,0
283,0.41374475,0,0
284,0.42618385,0,0
285,0.5410765,0,0
286,0.48956886,0,0
287,0.55649716,0,0
288,0.71608394,0,0
289,0.4858357,0,0
290,0.5408451,0,0
291,0.5829847,0,0
292,0.78792137,0,0
293,0.85754585,0,0
294,0.6746143,0,0
295,0.7935844,0,0
296,0.5949721,0,0
297,0.48535565,0,0
298,0.84840053,0,0
299,0.6773296,0,0
300,0.84950775,0,0
301,0.59274757,0,0
302,0.8699301,0,0
303,0.85014004,0,0
304,0.67723346,0,0
305,0.7681564,0,0
306,0.5762712,0,0
307,0.61484593,0,0
308,0.8044693,0,0
309,0.5457348,0,0
310,0.75104314,0,0
311,0.46713287,0,0
312,0.70810056,0,0
313,0.8022284,0,0
314,0.6759388,0,0
315,0.58414465,0,0
316,0.4985955,0,0
317,0.76183844,0,0
318,0.8242075,0,0
319,0.45555556,0,0
320,0.34958217,0,0
321,0.42977527,0,0
322,0.41316527,0,0
323,0.7863129,0,0
324,0.44647887,0,0
325,0.8662953,0,0
326,0.54393303,0,0
327,0.33854908,0,0
328,0.49861112,0,0
329,0.8857143,0,0
330,0.40167364,0,0
331,0.64673156,0,0
332,0.3547486,0,0
333,0.40646976,0,0
334,0.43435755,0,0
335,0.88135594,0,0
336,0.38108483,0,0
337,0.60393256,0,0
338,0.7437326,0,0
339,0.42797202,0,0
340,0.4958217,0,0
341,0.8581363,0,0
342,0.6235955,0,0
343,0.73435324,0,0
344,0.66714084,0,0
345,0.56478876,0,0
346,0.6414566,0,0
347,0.5243394,0,0
348,0.76890755,0,0
349,0.698324,0,0
350,0.47619048,0,0
351,0.31039324,1,0
352,0.53072625,0,0
353,0.8142132,0,0
354,0.906815,0,0
355,0.55632824,0,0
356,0.5894886,0,0
357,0.57162726,0,0
358,0.7765363,0,0
359,0.7454798,0,0
360,0.53910613,0,0
361,0.5293296,0,0
362,0.5913529,0,0
363,0.7280335,0,0
364,0.867688,0,0
365,0.43030304,0,0
366,0.5369595,0,0
367,0.80307263,0,0
368,0.7176966,0,0
369,0.8920056,0,0
370,0.4589708,0,0
371,0.39191073,0,0
372,0.6052999,0,0
373,0.58519554,0,0
374,0.55153203,0,0
375,0.64356434,0,0
376,0.52924794,0,0
377,0.55780935,0,0
378,0.30995792,1,0
379,0.6457462,0,0
380,0.6,0,0
381,0.4247911,0,0
382,0.4716714,0,0
383,0.58014184,0,0
384,0.6937063,0,0
385,0.39855072,0,0
386,0.44444445,0,0
387,0.7949791,0,0
388,0.6265912,0,0
389,0.64714086,0,0
390,0.38235295,0,0
391,0.44568247,0,0
392,0.44923505,0,0
393,0.45833334,0,0
394,0.5052192,0,0
395,0.7130919,0,0
396,0.7132867,0,0
397,0.5225352,0,0
398,0.5209497,0,0
399,0.90422535,0,0
400,0.8251058,0,0
401,0.6036161,0,0
402,0.529661,0,0
403,0.488178,0,0
404,0.5980254,0,0
405,0.5174825,0,0
406,0.7206704,0,0
407,0.60637206,0,0
408,0.4665738,0,0
409,0.82492995,0,0
410,0.79805017,0,0
411,0.70711297,0,0
412,0.68251747,0,0
413,0.44851905,0,0
414,0.8200837,0,0
415,0.5829847,0,0
416,0.73044693,0,0
417,0.41607898,0,0
418,0.62622035,0,0
419,0.6979021,0,0
420,0.8091922,0,0
421,0.8499486,0,0
422,0.5182073,0,0
423,0.7899861,0,0
424,0.767733,0,0
425,0.6019553,0,0
426,0.7173913,0,0
427,0.5726257,0,0
428,0.5481256,0,0
429,0.41151685,0,0
430,0.33936024,0,0
431,0.7916084,0,0
432,0.8284519,0,0
433,0.64156204,0,0
434,0.32492998,1,0
435,0.53089887,0,0
436,0.5686275,0,0
437,0.30020285,1,0
438,0.5811359,0,0
439,0.8354254,0,0
440,0.52793294,0,0
441,0.8201439,0,0
442,0.4985955,0,0
443,0.6388309,0,0
444,0.38235295,0,0
445,0.78370786,0,0
446,0.7963738,0,0
447,0.7535014,0,0
448,0.79916316,0,0
449,0.58158994,0,0
450,0.47457626,0,0
451,0.9037657,0,0
452,0.6620306,0,0
453,0.5062937,0,0
454,0.7301808,0,0
455,0.60784316,0,0
456,0.8166432,0,0
457,0.6179775,0,0
458,0.64714086,0,0
459,0.6426513,0,0
460,0.65411437,0,0
461,0.82254696,0,0
462,0.78351957,0,0
463,0.34149855,0,0
464,0.7232267,0,0
465,0.73463684,0,0
466,0.46918768,0,0
467,0.61057025,0,0
468,0.48942173,0,0
469,0.748954,0,0
470,0.7531557,0,0
471,0.39360222,0,0
472,0.70579916,0,0
473,0.73044693,0,0
474,0.74285716,0,0
475,0.5640668,0,0
476,0.7929078,0,0
477,0.82590526,0,0
478,0.7096774,0,0
479,0.56821376,0,0
480,0.8480243,0,0
481,0.7288136,0,0
482,0.70194983,0,0
483,0.7691238,0,0
484,0.4301676,0,0
485,0.53268427,0,0
486,0.32816902,1,0
487,0.4893918,0,0
488,0.44784424,0,0
489,0.42318437,0,0
490,0.3783032,0,0
491,0.52307695,0,0
492,0.38438132,0,0
493,0.8094576,0,0
494,0.4794326,0,0
495,0.4859944,0,0
496,0.81907433,0,0
497,0.7667343,0,0
498,0.7639665,0,0
499,0.6022409,0,0
